Case #,Incident Type,Date/Time Reported,Occurred Range,Location,Disposition
25-00005,INFO: Information Only Report,1/2/25 11:51,"*09/01/2023 *00:00 - 1/2/25
11:52",*Unknown Location,Inactive
25-00006,459: PC; Burglary:first Degree; Felony,1/2/25 11:14,"12/27/2024  13:00 - 1/2/25
11:00",1301 S. 46th St; RFS,Active
25-00007,INFO: Information Only Report *Assault *Sexual Assault *Stalking *Intimidation,1/2/25 11:57,1/2/25 11:57,**1900 Block of Oxford St,Inactive
25-00008,"459: PC; Burglary:first Degree; Felony 626.10(B): PC; Poss Wpn Univ Not F/Arm; Felony 1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor 4
66: PC; Possess/Etc Burglary Tools; Misdemeanor 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 626: Exclusion Order Issued",1/2/25 19:07,"01/02/2025  19:07 - 1/2/25
19:33",1051 Monroe St; Xucyun Ruwway Apartments,Closed
25-00009,Caslty: Injury/Illness,1/3/25 4:18,"01/03/2025  04:18 - 1/3/25
 4:19",555 Ohlone Av #302,Inactive
25-00010,SUPP: Supplemental Reports 978.5: PC; Bench Warrant/Failure To Appear On Misdemeanor Charge; Misdemeanor UCBPD-WAR-M: Misdemeanor Warrant From Ucbpd,1/3/25 8:53,"01/03/2025  08:53 - 1/3/25
 8:54",2301 Bancroft Wy; RSF Garage,Closed
25-00011,647(H): PC; Disorderly Conduct:loiter/Etc Private Property; Misdemeanor 484(A): PC; Petty Theft; Misdemeanor,1/3/25 8:50,"01/03/2025  06:50 - 1/3/25
 6:52",*935 Ohlone Ave; UVA,Inactive
25-00012,459: PC; Burglary: Second Degree; Felony,1/3/25 11:11,"01/03/2025  03:00 - 1/3/25
10:55",GPB Garage,Inactive
25-00013,OA-BPD: Outside Assist - BPD OA-AUTO THEFT: Outside Assist - Auto Theft,1/3/25 13:59,"12/26/2024  17:47 - 12/26/24
17:57",1608 Fourth St; Shared Services,Inactive
25-00014,10852: VC; Tamper With Vehicle; Misdemeanor,1/3/25 18:39,01/03/2025  *09:27,2214 Bancroft Wy; Legends Aquatic Center,Active
25-00015,459: PC; Burglary: Second Degree; Felony,1/3/25 20:38,"01/03/2025  *15:00 - 1/3/25
20:41",2309 Haste St; Ellsworth Parking Structure,Inactive
25-00016,459: PC; Burglary: Second Degree; Felony,1/3/25 20:54,"*Unknown Date & Time - 1/3/25
20:39",2309 Haste St; Ellsworth Parking Structure,Active
25-00017,Caslty: Injury/Illness,1/3/25 20:01,"01/03/2025  20:01 - 1/3/25
20:30",Sproul Hall; UCPD,Inactive
25-00018,273.5(A): PC; Inflict Corporal Injury On Spouse/Cohabitant/Datng Relatnshp; Misd SUPP: Supplemental Reports *Aggravated Assault,1/3/25 22:58,"01/03/2025  22:58 - 1/3/25
22:59",**University Village; UVA,Closed
25-00019,INFO: Information Only Report *Stalking,1/3/25 20:51,"*Unknown Month, 2024 - 1/3/25
20:52 - University of California PD, Berkeley - Daily Crime Log - 01/04/2025  00:00  -  01/04/2025  23:59",**On Cmpaus,Active
25-00020,PRODAM: Property Damage,1/4/25 12:28,"01/03/2025  08:00 - 1/3/25
17:00",2645 Haste St; Underhill Parking Structure,Active
25-00021,243(B): PC; Battery On Peace Officer/Emergency Personnel/Etc; Misdemeanor 5150: WI; 72 Hour Mental Health Hold;,1/4/25 23:48,01/04/2025  23:47 - 01/05/2025  00:00  -  01/05/2025  23:59,Sproul Hall; UCPD,Inactive
25-00023,22651 (D): VC; Towed For Blocking Driveway;,1/5/25 15:31,1/5/25 15:31,Optometry Ln  &,Closed
25-00024,626: Exclusion Order Issued SUPP: Supplemental Reports 626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor,1/5/25 16:40,"01/05/2025  16:26 - 1/5/25
16:40",2333 College Av; Ida Jackson House,Closed
25-00025,INFO: Information Only Report,1/5/25 23:33,"01/05/2025  23:33 - 1/5/25
23:34",Bauer Wurster Hall,Inactive
25-00040,INFO: Information Only Report *Stalking,1/5/25 11:28,"01/05/2025  11:28 - 1/5/25
11:29",2535 Channing Wy; Channing/Bowditch Apts,Inactive
*24-03863,*273.6(A): PC; Viol Crt Ord Dom Violence; Misdemeanor,*01/05/2025  08:27,*01/05/2025  *05:59,**University Village Apartments; UVA,*Closed
25-00026,459: PC; Burglary:first Degree; Felony SUPP: Supplemental Reports 594(A)(1): PC; Vandalism:deface Property; Felony,1/6/25 9:00,"01/05/2025  05:00 - 1/5/25
 6:00",1301 S. 46th St; RFS,Active
25-00027,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,1/6/25 10:24,"12/28/2024  00:00 - 12/28/24
23:59",1 Centennial Dr; Lawrence Hall of Science,Inactive
25-00028,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/6/25 11:18,"12/13/2024  00:00 - 1/6/25
11:18",1301 S. 46th St; RFS,Inactive
25-00029,594(A)(1): PC; Vandalism:deface Property; Misdemeanor,1/6/25 11:59,"12/21/2024  14:00 - 1/2/25
 9:00",2700 Hearst Av #2B61; Foothill-2,Inactive
25-00030,Caslty: Injury/Illness,1/6/25 15:06,"01/06/2025  15:06 - 1/6/25
15:07",West Crescent,Inactive
25-00031,12500 (A): VC; Drive Without Licence; Misdemeanor,1/6/25 15:44,"01/06/2025  15:44 - 1/6/25
15:45",Channing Wy  & Telegraph Av,Closed
25-00032,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,1/6/25 12:41,"01/03/2025  12:15 - 1/3/25
12:20",786 Red Oak Av; UVA-135,Inactive
25-00552,242: PC; Battery On Person; Misdemeanor,1/6/25 11:30,11/14/2021  11:51 - 01/07/2025  00:00  -  01/07/2025  23:59,Li Ka Shing Center,Inactive
25-00034,11550(A): HS; Use/Under Influence Of Controlled Substance; Misdemeanor 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor,1/7/25 9:28,"01/07/2025  09:28 - 1/7/25
10:00",Lower Sproul Garage,Closed
25-00035,Lost Prop.: Lost Property,1/7/25 8:40,"12/24/2024  04:00 - 12/25/24
 4:00",Law Building #226D; Law Building,Inactive
25-00036,243(E)(1): PC; Battery:spouse/Ex Spouse/Date/Etc; Misdemeanor,1/7/25 10:24,"*10/01/2024  *00:01 - *10/31/24
 *23:59",**University Village Apartments; UVA,Inactive
25-00037,415(2): PC; Disturb By Loud/Unreasonable Noise; Misdemeanor 626: Exclusion Order Issued,1/7/25 10:32,"01/07/2025  10:32 - 1/7/25
10:55",1995 University Av,Inactive
25-00038,Lost Prop.: Lost Property,1/7/25 10:38,"01/05/2025  12:00 - 1/5/25
12:01",McCone Hall,Inactive
25-00039,INFO: Information Only Report,1/7/25 9:47,"01/07/2025  09:47 - 1/7/25
10:00",Sproul Hall,Active
25-00041,484(A): PC; Theft Of Personal Property; Misdemeanor,1/7/25 13:17,"12/23/2024  10:00 - 12/31/24
16:00",865 Kinkead Wy; UVA-146,Inactive
25-00042,Caslty: Injury/Illness,1/7/25 16:01,1/7/25 16:01,2222 Bancroft Wy; Tang Center,Inactive
25-00043,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,1/7/25 16:07,"01/07/2025  16:07 - 1/7/25
16:08",2424 Haste St; Rochdale Village,Inactive
25-00044,OA-THEFT: Outside Assist - Theft,1/7/25 19:48,"01/07/2025  19:48 - 1/7/25
20:01",Telegraph Av & Haste St,Inactive
25-00045,"OA-BPD: Outside Assist - BPD OUT WRTF: Other Agency Warrant, Fel",1/7/25 23:52,"01/07/2025  23:52 - 1/7/25
23:53 - 01/08/2025  00:00  -  01/08/2025  23:59",Eighth St & Harrison St,Closed
25-00047,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor 594(A)(1): PC; Vandalism:deface Property; Felony *Burglary,1/8/25 12:48,1/8/25,4927 Happy Valley Rd; Russell Research Station,
25-00048,Caslty: Injury/Illness,1/8/25 14:22,1/8/25,Wickson Gate,
25-00049,626: Exclusion Order Issued,1/8/25 14:02,1/8/25,2151 Berkeley Wy; IGIB,
25-00050,626: Exclusion Order Issued,1/8/25 20:07,1/8/25,2151 Berkeley Wy; IGIB,
25-00051,242: PC; Battery On Person; Misdemeanor 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde 626: Exclusion Order Issued *Battery *Robbery,1/8/25 23:27,1/8/25,"01/08/2025  23:27, 23:59",Sproul Hall
25-00052,1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony 166(A)(4): PC; Contempt Of Court:disobey Court Order/Etc; Misdemeanor 594(A)(1): PC; Vandalism:deface Property; Felony OTHER CRIME: Other Criminal Code Violation 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde 243(B): PC; Battery On Peace Officer/Emergency Personnel/Etc; Misdemeanor SUPP: Supplemental Reports,1/9/25 8:54,"01/09/2025  08:54 - 1/9/25
 9:21",Alumni House,Closed
25-00053,1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony SUPP: Supplemental Reports 594(A)(2): PC; Vandalism:damage Property; Felony,1/9/25 9:07,"01/09/2025  09:07 - 1/9/25
 9:21",2200 Bancroft Wy; Public Affairs Office,Closed
25-00054,Deceased: Deceased Person,1/9/25 10:05,"01/09/2025  10:05 - 1/9/25
10:11",Sutardja Dai Hall; SDH,Active
25-00055,Caslty: Injury/Illness,1/9/25 10:48,1/9/25 10:48,Valley Life Science Building,Inactive
25-00056,SUSPKG: Suspicious Package,1/9/25 10:43,"*12/01/2024  *00:01 - 1/9/25
11:20",2626 Bancroft Wy #Loading Dock; Woo Hon Fai Hall,Closed
25-00057,Lost Prop.: Lost Property,1/9/25 14:09,"*01/01/2024  *00:01 - *10/31/24
*23:59",2220 Piedmont Av; Haas School Of Business,Inactive
25-00058,OA-THEFT: Outside Assist - Theft,1/9/25 15:05,"01/09/2025  09:30 - 1/9/25
 9:31",Telegraph Av  & Hawthrone Ave,Inactive
25-00059,Lost Prop.: Lost Property,1/9/25 15:45,10/24/2024  12:30 - 01/09/2025  00:00  -  01/09/2025  23:59,Bauer Wurster Hall; Wurster Hall,Inactive
25-00060,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/9/25 17:45,1/9/25,"01/09/2025  15:50, 17:30",2299 Piedmont Av; I House Lot
25-00061,148.4(A)(2): PC; Send/Etc False Fire Alarm By Any Method; Misdemeanor,1/9/25 18:36,1/9/25,"01/09/2025  18:36, 18:36",Lower Sproul Garage
25-00062,Caslty: Injury/Illness,1/9/25 19:58,1/9/25,"01/09/2025  19:57, 19:58",Sather Gate
25-00063,594(A)(1): PC; Vandalism:deface Property; Misdemeanor *594(A)(1): PC; Vandalism:deface Property; Misdemeanor *594(A)(1): PC; Vandalism:deface Property; Misdemeanor,1/9/25 20:08,1/9/25,"01/09/2025  *20:02, 20:26",2301 Bancroft Wy; RSF
25-00064,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor 166(A)(4): PC; Contempt Of Court:disobey Court Order/Etc; Misdemeanor 11377(A): HS; Possess Controlled Substance; Felony 626: Exclusion Order Issued,1/10/25 8:20,"01/10/2025  08:20 - 1/10/25
 9:00",485 Ohlone Av; UVA-169,Closed
25-00065,OA-THEFT: Outside Assist - Theft,1/10/25 9:14,"01/07/2025  03:00 - 1/7/25
 3:01",1315 Alma Ave,Inactive
25-00066,484(A): PC; Theft Of Personal Property; Misdemeanor,1/10/25 10:06,"12/19/2024  00:00 - 1/7/25
23:59",Doe Library,Inactive
25-00067,Caslty: Injury/Illness,1/10/25 11:54,"01/10/2025  11:54 - 1/10/25
12:04",Minor Hall,Inactive
25-00068,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,1/10/25 13:07,"01/10/2025  08:45 - 1/10/25
12:30",2299 Piedmont Av; I House Lot,Inactive
25-00069,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/10/25 15:46,1/10/25 15:46,2151 Berkeley Wy; IGIB,Active
25-00070,OA-BPD: Outside Assist - BPD OA-NON-CRIMINAL: Outside Assist - Non-Criminal,1/10/25 19:37,"01/10/2025  18:57 - 1/10/25
18:57",Oxford Ln  & University Av,Inactive
25-00071,INFO: Information Only Report *148.1 PC; False Bomb Report; Felony,1/10/25 20:33,"01/10/2025  18:49 - 1/10/25
20:34",Zellerbach Hall,Active
25-00072,Caslty: Injury/Illness,1/10/25 21:40,"01/10/2025  20:45 - 1/10/25
21:05 - University of California PD, Berkeley - Daily Crime Log - 01/11/2025  00:00  -  01/11/2025  23:59",1 Cyclotron Rd #104; LBNL,Inactive
25-00074,Caslty: Injury/Illness,1/11/25 11:59,1/11/25 11:59,CKC FIRE TRAIL,Inactive
25-00075,INFO: Information Only Report,1/11/25 13:44,1/11/25 13:44,1950 Oxford St; Anchor House,Inactive
25-00076,DEMO: Demonstration,1/11/25 19:30,"01/11/2025  19:30 - 1/11/25
20:00 - 01/12/2025  00:00  -  01/12/2025  23:59",People's Park Housing Construction Site,Inactive
25-00077,Caslty: Injury/Illness,1/12/25 1:30,"01/12/2025  01:30 - 1/12/25
 1:31",Simon Hall,Inactive
25-00078,INFO: Information Only Report,1/12/25 5:30,"01/12/2025  05:30 - 1/12/25
 5:31",Sproul Hall; UCPD,Inactive
25-00079,594(A)(1): PC; Vandalism:deface Property; Felony,1/12/25 8:26,1/12/25 8:26,Cesar Chavez Center,Inactive
25-00080,OA-OTHER CRIME: Outside Assist - Other Crime *422: PC; Threaten Crime W/Intent to Terrorize; Felony,1/12/25 8:51,1/12/25 8:51,Codornices Creek,Inactive
25-00081,594(A)(1): PC; Vandalism:deface Property; Felony,1/12/25 8:57,1/12/25 8:57,Zellerbach Hall,Inactive
25-00082,484G(B): PC; Unauth Use Accss Crd 950+; Felony,1/12/25 12:48,"12/27/2024  00:00 - 12/30/24
 0:00",Sutardja Dai Hall,Inactive
25-00083,459: PC; Burglary:second Degree; Misdemeanor,1/12/25 18:45,"11/01/2024  00:00 - 1/12/25
18:30 - 01/13/2025  00:00  -  01/13/2025  23:59",2400 Durant Av; Unit-3,Inactive
25-00084,487(A): PC; Grand Theft:money/Labor/Property; Felony,1/13/25 7:06,"01/11/2025  03:12 - *1/11/25
*3:16",Law Building Lot,Active
25-00085,487(A): PC; Grand Theft:money/Labor/Property; Felony,1/13/25 8:31,"01/10/2025  19:00 - 1/13/25
 7:30",Northwest Animal Facility,Inactive
25-00086,314(1): PC; Indecent Exposure; Misdemeanor,1/13/25 9:50,"01/13/2025  09:41 - 1/13/25
10:05",2415 Bowditch St; Crossroads,Inactive
25-00087,PRODAM: Property Damage,1/13/25 8:51,"01/10/2025  15:00 - 1/13/25
 7:30",17 Gauss Wy; MSRI Parking Lot,*Inactive
25-00088,518(A): PC; Extortion; Felony,1/13/25 10:44,"01/13/2025  00:00 - 1/13/25
10:43",2424 Haste St #F30,Active
25-00089,PRODAM: Property Damage,1/13/25 11:29,"01/13/2025  10:40 - 1/13/25
10:47",LBNL-82,Inactive
25-00090,484(A): PC; Theft Of Personal Property; Misdemeanor,1/13/25 14:19,"12/20/2024  17:00 - 12/23/24
14:00",2520 Channing Wy; Max Martinez Commons,Inactive
25-00091,INFO: Information Only Report,1/13/25 20:32,"01/13/2025  20:32 - 1/13/25
21:00",Durant Av  & Telegraph Av,Inactive
25-00092,422(A): PC; Threaten Crime With Intent To Terrorize; Felony 594(A)(1): PC; Vandalism:deface Property; Misdemeanor 484(A): PC; Petty Theft; Misdemeanor 1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor OA-BPD: Outside Assist - BPD,1/13/25 23:12,"01/13/2025  22:45 - 1/13/25
23:11",1444 Shattuck Av,Closed
25-00098,INFO: Information Only Report,1/13/25 13:19,1/13/25 13:19,1950 Oxford St; Anchor House,Inactive
*24-03863,*SUPP: Supplemental Reports *166(A)(4): PC; Contempt of Court:disobey Court Order/Ect,*01/13/2025   *08:48,*01/13/2025  *00:59 - 01/14/2025  00:00  -  01/14/2025  23:59,**University Village Apartments; UVA,*Closed
25-00093,148.4(A)(1): PC; Tamper/Etc With Fire Alarm/Etc; Misdemeanor,1/14/25 10:59,"01/14/2025  10:59 - *1/14/25
*11:10",2309 Haste St; Ellsworth Parking Structure,Inactive
25-00094,5150: WI; 72 Hour Mental Health Hold; SUPP: Supplemental Reports *Assault,1/14/25 11:53,"01/14/2025  11:53 - 1/14/25
11:54",Upper Sproul Plaza,Inactive
25-00095,Caslty: Injury/Illness,1/14/25 12:17,"01/14/2025  12:17 - 1/14/25
12:43",2120 Oxford St; BAMPFA Store,Inactive
25-00096,INFO: Information Only Report,1/14/25 12:29,"*01/13/2025  *17:30 - *1/14/25
*7:00",**On Campus,Active
25-00097,INFO: Information Only Report,1/14/25 12:26,"12/23/2024  12:26 - 1/14/25
14:45",1422 5TH ST,Inactive
25-00099,487(A): PC; Grand Theft:money/Labor/Property; Felony,1/14/25 11:37,"01/13/2025  15:00 - 1/14/25
 9:00",2232 Piedmont Av,Active
25-00100,Caslty: Injury/Illness,1/14/25 21:20,"01/14/2025  21:20 - 1/14/25
21:21",Barker Hall,Inactive
25-00101,INFO: Information Only Report 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor,1/14/25 22:40,"01/14/2025  22:40 - 1/14/25
22:41 - 01/15/2025  00:00  -  01/15/2025  23:59",2996 Telegraph Av,Inactive
25-00102,INFO: Information Only Report,1/15/25 3:12,*Unknown,"*2535 Channing Way, Berkeley, Ca",Inactive
25-00103,INFO: Information Only Report,1/15/25 10:35,11/13/24 12:00,"Campus (Unspecified Campus Location); Campus, Unspecified",Active
25-00104,594(B)(2)(A): PC; Vandalism Less Than $400; Misdemeanor 484(A): PC; Theft Of Personal Property; Misdemeanor,1/15/25 10:09,"01/14/2025  01:00 - 1/15/25
 8:00",Latimer Hall,Inactive
25-00105,Lost Prop.: Lost Property,1/15/25 11:20,"01/01/2020  00:00 - 12/31/20
 0:00",Stanley Hall,Inactive
25-00106,PRODAM: Property Damage,1/15/25 13:27,"01/15/2025  13:27 - 1/15/25
13:51",1806 Walnut St,Inactive
25-00107,INFO: Information Only Report,1/15/25 13:39,"01/15/2025  13:39 - 1/15/25
13:40",Bauer Wurster Hall #232,Inactive
25-00108,484(A): PC; Theft Of Personal Property; Misdemeanor,1/15/25 14:43,"01/15/2025  14:43 - 1/15/25
14:44",2601 Warring St; CKC,Inactive
25-00109,OA-BPD: Outside Assist - BPD 646.9(A): PC; Stalking; Misdemeanor *422: PC; Criminal Threat,1/15/25 16:04,"01/15/2025  16:04 - 1/15/25
16:05",**Channing Wy  & Telegraph Av,Inactive
25-00110,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor 626: Exclusion Order Issued,1/15/25 17:27,"01/15/2025  17:27 - 1/15/25
18:01",Bauer Wurster Hall,Closed
25-00111,626: Exclusion Order Issued UCBPD-WAR-M: Misdemeanor Warrant From Ucbpd 978.5: PC; Bench Warrant/Failure To Appear On Misdemeanor Charge; Misdemeanor,1/15/25 17:59,"01/15/2025  17:59 - 1/15/25
18:02",Calvin Lab,Closed
25-00112,Caslty: Injury/Illness,1/15/25 19:06,"01/15/2025  19:06 - 1/15/25
19:07 - University of California PD, Berkeley - Daily Crime Log - 01/15/2025  00:00  -  01/15/2025  23:59",555 Ohlone Av; UVA-170,Inactive
25-00113,SUPP: Supplemental Reports 242: PC; Battery On Person; Misdemeanor 1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor 626: Exclusion Order Issued,1/16/25 1:56,"01/16/2025  01:47 - 1/16/25
1:48",Upper Sproul Plaza,Closed
25-00114,"Caslty: Injury/Illness S
UPP: Supplemental Reports",1/16/25 12:42,"01/16/2025  12:42 - 1/16/25
12:43",Faculty Glade,Inactive
25-00115,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,1/16/25 12:44,"12/20/2024  00:01 - 12/30/24
 0:59",1 Centennial Dr; Lawrence Hall of Science,Inactive
25-00116,470(A): PC; Forgery; Felony,1/16/25 13:53,"01/15/2025  14:00 - 1/16/25
14:00",1608 Fourth St; Shared Services,Inactive
25-00117,PRODAM: Property Damage,1/16/25 15:39,"01/16/2025  12:00 - 1/16/25
12:20",Sather Tower; Campanille,Inactive
25-00118,INFO: Information Only Report,1/16/25 15:39,"01/16/2025  *15:34 - 1/16/25
15:40","Northwest Animal Facility #Loading Dock; Northwest, Animal Facility",Inactive
25-00119,Caslty: Injury/Illness,1/16/25 17:57,"01/16/2025  17:57 - 1/16/25
18:17",LHS Vista Lot,Inactive
25-00120,12500 (A): VC; Drive Without Licence; Misdemeanor 22450(A): VC; Failure to Stop At A Stop Sign; Infraction,1/16/25 21:44,"01/16/2025  21:44 - 1/16/25
21:45 - 01/17/2025  00:00  -  01/17/2025  23:59",Bowditch St SOUTH Channing Wy,Closed
25-00121,Caslty: Injury/Illness,1/17/25 2:37,"01/17/2025  02:37 - 1/17/25
 2:41",2401 Durant Av; Blackwell Hall,Inactive
25-00122,647(E): PC; Disorderly Conduct:lodge Without Owners Consent; Misdemeanor 148.9(A): PC; Give False Id To Po; Misdemeanor,1/17/25 7:32,"01/17/2025  07:32 - 1/17/25
 7:45",Spieker Plaza,Closed
25-00123,470(D): PC; Forgery:false Checks/Records/Certificates/Etc; Felony,1/17/25 11:03,"*12/11/2024 *00:00 - *1/01/25
 *23:59",2495 Bancroft Wy; MLK Jr. Student Union,Inactive
25-00124,459: PC; Burglary:second Degree; Misdemeanor,1/17/25 11:02,"01/16/2025  19:30 - 1/17/25
 9:30",485 Ohlone Av; UVA-169,Inactive
25-00125,314(1): PC; Indecent Exposure; Misdemeanor,1/17/25 14:24,"01/17/2025  14:24 - 1/17/25
14:25",2222 Bancroft Wy; Tang Center,Inactive
25-00126,PRODAM: Property Damage,1/17/25 14:53,"01/10/2025  10:00 - 1/17/25
14:45",2650 Durant Av #G03; Unit-1 Putnam,Inactive
25-00127,20002 (A): VC; Hit and Run:property Damage; Misdemeanor,1/17/25 15:17,"01/17/2025  12:05 - 1/17/25
13:00",1995 University Av; UC Extension,Active
25-00128,INFO: Information Only Report *Stalking,1/17/25 16:37,"04/01/2019  12:00 - 1/17/25
17:00",**On Campus,Inactive
25-00129,OA-BPD: Outside Assist - BPD OA-NON-CRIMINAL: Outside Assist - Non-Criminal,1/17/25 18:09,"01/17/2025  16:10 - 1/17/25
19:58 - 01/18/2025  00:00  -  01/18/2025  23:59",San Pablo Av  & Delaware St,Inactive
25-00130,594(A)(1): PC; Vandalism:deface Property; Felony,1/18/25 6:05,"01/18/2025  05:50 - 1/18/25
 5:51",Spieker Plaza,Inactive
25-00131,INFO: Information Only Report,1/18/25 9:15,"12/13/2024  00:00 - 1/17/25
 0:00",2650 Durant Av #114B; Unit-1 Christian,Inactive
25-00132,594(A)(1): PC; Vandalism:deface Property; Felony,1/18/25 10:17,"01/17/2025  00:00 - 1/18/25
 0:00",West Crescent,Active
25-00133,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/18/25 14:49,"01/18/2025  12:40 - 1/18/25
13:21",2227 Piedmont Av; Simpson Center,Inactive
25-00134,484(A): PC; Theft Of Personal Property; Misdemeanor,1/18/25 15:46,"01/18/2025  13:00 - 1/18/25
14:50",2301 Bancroft Wy; RSF,Inactive
25-00135,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor SUPP: Supplemental Reports,1/18/25 15:04,"01/18/2025  13:00 - 1/18/25
14:00",2227 Piedmont Av; Simpson Center,Active
25-00137,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor SUPP: Supplemental Reports,1/18/25 16:07,"01/18/2025  *13:00 - *1/18/25
*15:30",2227 Piedmont Av; Simpson Center,Active
25-00138,602(O): PC; Trespass:refuse To Leave Property; Misdemeanor 626: Exclusion Order Issued,1/18/25 16:28,"01/18/2025  16:18 - 1/18/25
16:28",Minor Hall,Closed
25-00139,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/18/25 17:20,"01/18/2025  15:00 - 1/18/25
15:30",2227 Piedmont Av; Simpson Center,Inactive
25-00140,594(A)(1): PC; Vandalism:deface Property; Felony,1/18/25 14:20,1/18/25 14:20,McLaughlin Hall,Inactive
*25-00141,*INFO: Information Only Report,*01/18/2025  *16:41,"*01/18/2025  *16:41 - *1/18/25
*18:52",*29 Caledonia Street,*Inactive
25-00142,484(A): PC; Petty Theft; Misdemeanor,1/18/25 17:42,"01/16/2025  14:41 - 1/18/25
17:42 - 01/19/2025  00:00  -  01/19/2025  23:59",2299 Piedmont Av; I House,Inactive
25-00143,459: PC; Burglary: Second Degree; Felony,1/19/25 4:39,"01/19/2025  04:34 - 1/19/25
 4:38",Memorial Stadium; Memorial Stadium,Active
25-00146,459: PC; Burglary:first Degree; Felony,1/19/25 10:29,1/19/25 0:50,3800 San Pablo Av; Intersection Apartments,Active
25-00147,Lost Prop.: Lost Property,1/19/25 13:55,"12/21/2024  00:00 - 1/19/25
13:55",2650 Durant Av; Unit-1 Deutsch,Inactive
25-00149,OA-BPD: Outside Assist - BPD OA-NON-CRIMINAL: Outside Assist - Non-Criminal,1/19/25 16:09,1/19/25 16:09,*2000 block of University Av,Inactive
25-00150,Caslty: Injury/Illness,1/19/25 17:11,"01/19/2025  15:00 - 1/19/25
15:05","*Bancroft Way, Berkeley, Ca",Inactive
25-00151,484(A): PC; Theft Of Personal Property; Misdemeanor,1/19/25 17:05,"11/23/2024  12:00 - 11/23/24
16:00",Memorial Stadium; Memorial Stadium,Inactive
25-00152,243 (E)(1): PC; Battery On Spouse/Co-Habitant/Etc; Misdemeanor,1/19/25 19:18,"05/01/2019  08:00 - 5/1/19
 8:01 - 01/20/2025  00:00  -  01/20/2025  23:59",**University Village,Inactive
25-00154,OA-BOMB: Outside Assist - Bomb Call,1/20/25 9:39,1/20/25 9:39,7576 REDWOOD BLVD,Inactive
25-00155,DEMO: Demonstration,1/20/25 12:01,"01/20/2025  12:01 - 1/20/25
12:53",Upper Sproul Plaza,Inactive
25-00156,594(A)(1): PC; Vandalism:deface Property; Felony *Burglary,1/20/25 13:41,"01/17/2025  17:00 - 1/20/25
13:38",Valley Life Science Building,Inactive
25-00157,OA-BPD: Outside Assist - BPD OA-NON-CRIMINAL: Outside Assist - Non-Criminal,1/20/25 12:16,"12/19/2024  *00:00 - *23:59
*12/19/24",2600 Durant Av,Inactive
25-00158,14601.2(A): VC; Driving W/Lic Susp/Revoked For Dui Violation; Misdemeanor 22450(A): VC; Failure to Stop At A Stop Sign; Infraction,1/20/25 22:33,"01/20/2025  22:33 - 1/20/25
22:34",Warring St  & Parker St,Closed
25-00159,4000 (A): VC; No Registration:vehicle/Trailer/Etc; Infraction 16028 (A): VC; Failure to Provide Financial Responsibility; Infraction 22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months; Infraction,1/20/25 23:45,"01/20/2025  23:45 - 1/20/25
23:59 - 01/21/2025  00:00  -  01/21/2025  23:59",Bowditch St  & Bancroft Wy,Inactive
25-00160,484(A): PC; Petty Theft; Misdemeanor 626: Exclusion Order Issued,1/21/25 8:12,"01/21/2025  08:12 - 1/21/25
 8:15",Lower Sproul Garage,Inactive
25-00161,Caslty: Injury/Illness,1/21/25 9:23,"01/21/2025  09:23 - 1/21/25
 9:24",Bancroft Library,Inactive
25-00162,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/21/25 10:39,"12/20/2024  07:00 - 1/21/25
 9:30",2400 Durant Av; Unit-3,Inactive
25-00163,OA-BPD: Outside Assist - BPD OA-BATTERY: Outside Assist - Battery,1/21/25 10:52,1/21/25 10:52,Dwight Wy  & Telegraph Av,Inactive
