Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Disposition
Fire Alarm,2502170041,2/17/25 10:58,,"Oban Apartments, 900 Block Of Linden St",False Alarm: Human Activation
Suspicious Circumstances,2502170039,2/17/25 10:36,,"Getaway Cafe, 3600 Block Of Canyon Crest Dr",Completed
Pedestrian Check,2502170018,2/17/25 3:24,,1800 Block Of Chicago Ave,Warning (Verbal)
Traffic Stop,2502170006,2/17/25 0:41,,,Cite Issued
Traffic Stop,2502170003,2/17/25 0:15,,,Warning (Verbal)
Grand Theft:money/labor/property - From Motor Vehicle (F),25-0216,2/16/25 23:43,2/16/25 19:30,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Suspended/pending Further Leads
Traffic Stop,2502160105,2/16/25 23:19,,,Warning (Verbal)
Cso Services,2502160101,2/16/25 22:57,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2502160102,2/16/25 22:57,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Building Check,2502160099,2/16/25 22:29,,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Completed
Cso Services,2502160093,2/16/25 21:57,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Cso Services,2502160091,2/16/25 21:55,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502160090,2/16/25 21:54,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Flagdown,2502160085,2/16/25 20:48,,,Fire Responded
Building Check,2502160082,2/16/25 20:16,,"W. Conway Pierce Hall, 900 Block Of University Ave",Completed
Building Check,2502160076,2/16/25 19:29,,"Student Success Center, 900 Block Of University Ave",Completed
Fire Alarm,2502160074,2/16/25 18:49,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",False Alarm: Human Activation
Building Check,2502160069,2/16/25 18:05,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Grand Theft:money/labor/property - From Building (F),25-0215,2/16/25 18:02,2/16/25 17:35,"Student Recreation Center South, 900 Block Of University Ave",Unfounded
Building Check,2502160067,2/16/25 17:25,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
"Fire Report, Non-arson",25-0214,2/16/25 16:29,2/16/2025 4:29 PM - 2/16/2025 12:00 AM,"Genomics Shed, 900 Block Of University Ave",Information Only
Area Check,2502160057,2/16/25 15:20,,"Interior Mall, 900 Block Of University Ave",Completed
Fire Alarm,2502160049,2/16/25 14:33,,"Oban Apartments, 900 Block Of Linden St",False Alarm: Human Activation
Call Boxes-blue Phones,2502160031,2/16/25 9:29,,"Housing Administration, 3500 Block Of Canyon Crest Dr",Completed
Building Check,2502160027,2/16/25 7:08,,"Skye Hall, 900 Block Of University Ave",Completed
911 Call,2502160026,2/16/25 6:36,,"Bburn T307, 900 Block Of University Ave",Completed
Unwanted Subject,2502160025,2/16/25 4:29,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Call Boxes-blue Phones,2502160019,2/16/25 3:33,,"Alfred M. Boyce Hall, 900 Block Of University Ave",Completed
Building Check,2502160017,2/16/25 3:15,,"Leon Dexter Batchelor Hall, 900 Block Of University Ave",Completed
Building Check,2502160005,2/16/25 1:44,,"Life Sciences 1500, 900 Block Of University Ave",Completed
Building Check,2502150165,2/15/25 23:44,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Cso Services,2502150164,2/15/25 23:38,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2502150163,2/15/25 23:32,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2502150159,2/15/25 23:20,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2502150158,2/15/25 23:08,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502150157,2/15/25 23:05,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2502150152,2/15/25 22:28,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Traffic Stop,2502150151,2/15/25 22:24,,,Warning (Verbal)
Traffic Stop,2502150148,2/15/25 22:15,,,Warning (Verbal)
Traffic Stop,2502150147,2/15/25 22:09,,,Warning (Verbal)
Traffic Stop,2502150144,2/15/25 22:01,,,Warning (Verbal)
Area Check,2502150139,2/15/25 21:40,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Information,2502150137,2/15/25 21:32,,"Police Building, 3500 Block Of Canyon Crest Dr",Log Note Only
Suspicious Circumstances,2502150136,2/15/25 21:26,,"Satellite Chiller Plant, 900 Block Of University Ave",Completed
Public Service,2502150125,2/15/25 20:49,,"Police Building, 3500 Block Of Canyon Crest Dr",Public Assist
Fire Alarm,2502150117,2/15/25 16:09,,"Glen Mor Housing, 400 Block Of Big Springs Rd",False Alarm: Human Activation
Fire Alarm,2502150099,2/15/25 13:35,,"University Plaza Apartments, 1000 Block Of Linden St",False Alarm: Human Activation
Fire Alarm,2502150096,2/15/25 13:11,,"Student Recreation Center North, 900 Block Of University Ave",False Alarm: Unknown Reason
Traffic Stop,2502150090,2/15/25 12:44,,,Warning (Verbal)
Fire Alarm,2502150084,2/15/25 11:58,,"Oban Apartments, 900 Block Of Linden St",False Alarm: Unknown Reason
Petty Theft - All Other Larceny (M),25-0213,2/15/25 11:28,2/14/2025 3:30 PM - 2/15/2025 11:15 AM,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Suspended/pending Further Leads
Unwanted Subject,2502150079,2/15/25 11:14,,"Sub Station, 3600 Block Of Canyon Crest Dr",Completed
Traffic Accident,2502150078,2/15/25 11:10,,,Report Taken
Information,2502150065,2/15/25 10:18,,"Alumni And Visitors Center, 3700 Block Of Canyon Crest Dr",Log Note Only
Silent Burglary Alarm,2502150059,2/15/25 9:55,,"Alumni And Visitors Center, 3700 Block Of Canyon Crest Dr",False Alarm: Human Activation
911 Call,2502150056,2/15/25 9:19,,,Log Note Only
Unwanted Subject,2502150051,2/15/25 7:00,,"Alumni And Visitors Center, 3700 Block Of Canyon Crest Dr",Completed
Silent Burglary Alarm,2502150050,2/15/25 6:49,,"Housing Administration, 3500 Block Of Canyon Crest Dr",Discontinued Alarm (Cancelled)
Public Service,2502150047,2/15/25 5:26,,"Chass Interdisciplinary North, 900 Block Of University Ave",Completed
Fire Alarm,2502150039,2/15/25 4:12,,"Glen Mor Housing, 400 Block Of Big Springs Rd",False Alarm: Unknown Reason
Silent Burglary Alarm,2502150029,2/15/25 1:37,,"Housing Administration, 3500 Block Of Canyon Crest Dr",Discontinued Alarm (Cancelled)
Silent Burglary Alarm,2502150028,2/15/25 1:30,,"Housing Administration, 3500 Block Of Canyon Crest Dr",False Alarm: Unknown Reason
Vehicle Check,2502150022,2/15/25 1:10,,"International Village Apartments, 1100 Block Of Everton Pl",Completed
Traffic Stop,2502150017,2/15/25 0:52,,,Warning (Verbal)
Vehicle Check,2502150009,2/15/25 0:28,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Silent Burglary Alarm,2502150007,2/15/25 0:24,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Discontinued Alarm (Cancelled)
Traffic Stop,2502150005,2/15/25 0:12,,,Warning (Verbal)
Silent Burglary Alarm,2502150004,2/15/25 0:06,,"Housing Administration, 3500 Block Of Canyon Crest Dr",False Alarm: Unknown Reason
Area Check,2502150001,2/15/25 0:04,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Area Check,2502150002,2/15/25 0:04,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Area Check,2502150003,2/15/25 0:04,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Area Check,2502140126,2/14/25 22:32,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Area Check,2502140127,2/14/25 22:32,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Area Check,2502140120,2/14/25 22:12,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Area Check,2502140121,2/14/25 22:12,,"Oban Apartments, 900 Block Of Linden St",Completed
Area Check,2502140119,2/14/25 22:11,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Area Check,2502140118,2/14/25 22:10,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Area Check,2502140111,2/14/25 20:36,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Lot Check,2502140105,2/14/25 18:20,,"Parking Lot 24, 900 Block Of University Ave",Completed
Welfare Check,2502140104,2/14/25 18:11,,"University Theater-near Olmsted Hall, 900 Block Of University Ave",Completed
Medical Aid,2502140101,2/14/25 17:23,,"Student Health And Counseling Center, 300 Block Of Linden St",Completed
Public Service,2502140099,2/14/25 17:05,,"Student Recreation Center North, 900 Block Of University Ave",Completed
Lot Check,2502140098,2/14/25 17:00,,"Parking Lot 24, 900 Block Of University Ave",Completed
Public Service,2502140094,2/14/25 16:04,,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Completed
Public Service,2502140088,2/14/25 15:36,,"School Of Business, 900 Block Of University Ave",Completed
Suspicious Circumstances,2502140078,2/14/25 13:27,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Rape,2502140075,2/14/25 12:46,,"Student Health And Counseling Center, 300 Block Of Linden St",Report Taken
Public Service,2502140071,2/14/25 12:19,,"Leon Dexter Batchelor Hall, 900 Block Of University Ave",Completed
Fire Alarm,2502140070,2/14/25 12:09,,"Oban Apartments, 900 Block Of Linden St",False Alarm: Human Activation
Suspicious Subject,2502140069,2/14/25 12:02,,"Humanities & Social Sciences, 900 Block Of University Ave",Gone On Arrival
Public Service,2502140061,2/14/25 10:47,,"Parking Lot 27, 900 Block Of University Ave",Completed
Traffic Stop,2502140058,2/14/25 10:30,,,Cite Issued
Traffic Stop,2502140054,2/14/25 10:12,,,Warning (Verbal)
Grand Theft:money/labor/property - Motor Vehicle Parts/accessories (F),25-0209,2/14/25 10:08,2/14/25 10:08,,Suspended/pending Further Leads
Lot Check,2502140052,2/14/25 10:06,,"Parking Lot 28, 900 Block Of University Ave",Completed
Area Check,2502140047,2/14/25 9:40,,"University Extention Center-uv, 1200 Block Of University Ave",Completed
Pedestrian Check,2502140045,2/14/25 9:33,,1400 Block Of University Ave,Completed
Information,2502140037,2/14/25 8:54,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Traffic Stop,2502140029,2/14/25 8:37,,,Warning (Verbal)
Traffic Stop,2502140028,2/14/25 8:33,,"Parking Lot 6, 900 Block Of University Ave",Warning (Verbal)
Medical Aid,2502140016,2/14/25 2:13,,"Dundee Residence Hall, 600 Block Of Linden St",Completed
Dui Alcohol (M),25-0208,2/14/25 1:45,2/14/25 1:45,,Cleared By Arrest
Dui Alcohol/0.08 Percent (M),25-0208,2/14/25 1:45,2/14/25 1:45,,Cleared By Arrest
Possess Unlawful Paraphernalia (M),25-0207,2/14/25 1:22,2/14/25 1:22,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",Cleared By Arrest
Medical Aid,2502140011,2/14/25 0:53,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Vehicle Check,2502140008,2/14/25 0:36,,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",Report Taken
Public Service,2502140009,2/14/25 0:36,,,Public Assist
