Case#,Date/Time Reported,Incident Type,Location,Date/Time Occurred,Disposition
2022-00 0011401,7/22/22,Fake ID,155 Otey St NW (GLC Parking Lot),7/22/22 10:18,CBA
2022-00 011417,7/23/22,Underage Possession of Alcohol,185 Kent St (outside CID Bldg),7/23/2022 42,Inactive: Referred to Student Conduct
,,,,,
2022-00,7/23/22,Underage Possession of Alcohol/Public,185 Kent St (outside CID,7/23/2022 42,Inactive: Referred to
011417 2022-00,7/24/22,Intoxication Public Intoxication,Bldg) Otey St NW / College Ave,7/24/2022 46,Student Conduct CBA
011449 2022693,4/21/22,Underage Possession of Alcohol,410 Drillfield Dr (Eggleston,4/20/22,Inactive:  Referred by
3 2022737,5/4/22,Underage Possession of Alcohol,Main) 185 Beamer Way (Lane,5/1/22,Student Conduct Inactive:  Referred by
1 2022-00,7/29/22,Public Intoxication /Motor Vehicle Theft,Stadium) 240 Beamer Way (Stadium,7/29/2022 3,Student Conduct CBA
011627 2022-00,7/29/22,Public Intoxication,Lot) 240 Beamer Way (Stadium,7/29/22 0:01,CBA
11633,,,Lot) MONTHLY CRIME LOG: AUGUST 2022,,
,,,,(s) Occurrence,
2022-00 011709,7/31/22,Simple Assault X 2,217 College Ave (Squires Parking Lot),7/31/22 2:00,Inactive
2022-00 011719,8/1/22,"Larcceny, all Other/Public Intoxication/ Underage Possession of Alcohol",185 Beamer Way,8/1/22 0:00,CBA
2022-00 011719,8/1/22,"Larcceny, all Other/Public Intoxication X 2",185 Beamer Way,8/1/22 0:00,Inactive: Referred to Student Conduct
2022-00 011728,8/1/22,Vandalism/destruction of Property,185 Kent St (CID LLC),7/29/22 0:00,Inactive
2022-00 011763,8/1/22,Vandalism/destruction of Property,185 Kent St (CID LLC),8/1/22 19:00,Inactive
2022-00 011905,8/4/22,"Larceny, all Other",560 Drillfield Dr (outside Newman Library),8/4/22 15:00,Inactive
2022-00 011951,8/5/22,Sex Offense/Fondling,185 Kent St (CID LLC),7/27/22 1:00,Inactive: Referred to Title IX
2022-00 011957,8/6/22,Sex Offense/Rape,Corner of Beamer Way/ Southgate Dr (Chicken Hill,8/5/22 20:00,Inactive: Referred to Title IX
2022-00,8/6/22,"Larceny, all Other",Lot) 185 Kent St (CID LLC),8/6/22 13:00,Inactive
011976 2022-00,8/6/22,"Larceny, all Other",560 Drillfield Dr (outside,8/6/22 16:40,Inactive
011979 2022-00,8/14/22,Public Intoxication,Newman Library) 201 College Ave (sidewalk),8/14/22 1:27,CBA
012296 2022-00,8/16/22,"Larceny, theft from Building",440 Drillfield Dr (Eggleston,08/15/2022- 19:00,Inactive
12484,,,Main),8/16/22,
,,,,,
2022-00 012503,8/16/22,Vandalism/destruction of Property X 22,630 Washington St SW (Pritchard Hall),8/16/22 22:47,Inactive: Referred to Student Conduct
2022-00 012517,8/17/22,Public Intoxication,290 College Ave (on street in front of Squires Student,8/17/22 1:53,CBA
2022-00,8/17/22,Public Intoxication,Center) 290 College Ave (outside,8/17/22 2:00,CBA
012518 2022-00,8/17/22,Underage Possession of Alcohol,Squires Student Center) 201 Ag Quad Ln (Slusher,8/17/22 22:34,Inactive: Referred to
012601 2022-00,8/17/22,Underage Possession of Alcohol X 3,Hall) 630 Washington St SW,8/17/22 22:58,Student Conduct Inactive: Referred to
012602 2022-00,8/18/22,Public Intoxication,(Pritchard Hall) 100 Draper Rd SW (7-Eleven),8/18/22 1:45,Student Conduct CBA
012613 2022-00,8/18/22,Fraud,800 Block Washington St SW,6/24/22 9:22,Inactive
012653 2022-00,8/18/22,Tampering with Motor Vehicle,330 Sterrett Dr ({Public Safety,8/18/22 2:15,Active
012669 2022-00,8/19/22,Public Intoxication,Bldg Parking Lot) 149 College Ave (walking in,8/19/22 0:10,CBA
012702 2022-00,8/19/22,Public Intoxication,street) 217 College Ave (sidewalk),8/19/22 1:42,CBA
012704 2022-00,8/19/22,Vandalism/destruction of Property,630 Washington St SW,08/18/2022- 22:30,Inactive
012709 2022-00,8/19/22,Public Intoxication,(Pritchard Hall) 1127 South Main St,8/19/22 8/19/22 02:41,CBA
012710 2022-00,7/13/22,Harassment by Computer/Stalking,285 Duck Pond Dr,07/01/2022- 00:00,Inactive
011038 2022-00,8/19/22,Harassment,530 Washington St SW,7/13/22 8/18/22 23:26,Inactive
012728 2022-00,8/19/22,Public Intoxication,(O'Shaughnessy Hall) 560 Drillfield Dr (outside,8/19/22 21:33,CBA
12753,,,Newman Library),,
,,,,,
2022-00 012758,8/19/22,Underage Possession of Alcohol X 2,201 Ag Quad Ln (Slusher Hall),8/19/22 22:20,Inactive: Referred to Student Conduct
2022-00 012758,8/19/22,Underage Possession of Alcohol/Underage Possession of Tobacco,201 Ag Quad Ln (Slusher Hall),8/19/22 22:20,Inactive: Referred to Student Conduct
2022-00 012761,8/20/22,Underage Possession of Alcohol X 6,201 Ag Quad Ln (Slusher Hall),8/19/22 22:31,Inactive: Referred to Student Conduct
2022-00 012763,8/19/22,Underage Possession of Alcohol,500 Drillfield Dr (West Eggleston),8/19/22 22:40,Inactive: Referred to Student Conduct
2022-00 012768,8/20/22,Public Intoxication,630 Washington St SW (Pritchard Hall),8/19/22 23:13,Inactive: Referred to Student Conduct
2022-00 012788,8/20/22,Public Intoxication,Duck Pond Dr,8/20/22 0:30,CBA
2022-00 012789,8/20/22,Vandalism/destruction of Property,180 Kent St (Vawter Hall),8/20/22 3:31,Inactive
2022-00 012790,8/20/22,Public Intoxication/Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),8/20/2022 38,CBA
2022-00 012794,8/20/22,"Larceny, all Other/Failure to Comply",Washington St SW,8/20/22 1:44,Inactive: Referred to Student Conduct
2022-00 012795,8/20/22,Public Intoxication/Underage Possession of Alcohol/Fake ID,290 College Ave (outside Squires Student Center),8/20/22 2:05,CBA
2022-00 012799,8/21/22,Underage Possession of Alcohol X 2,630 Washington St SW (Prairie Quad nearby),8/20/22 3:04,Inactive: Referred to Student Conduct
2022-00 012853,8/21/22,Underage Possession of Alcohol X 2,630 Washington St SW (Pritchard Hall),8/20/22 20:44,Inactive: Referred to Student Conduct
2022-00 012859,8/21/22,Underage Possession of Alcohol,530 Washington St SW (O'Shaughnessy Hall),8/20/22 21:20,Inactive: Referred to Student Conduct
2022-00 012866,8/20/22,Public Intoxication,3700 S Main St,8/20/22 22:05,CBA
2022-00 012867,8/20/22,Underage Possession of Alcohol X 5,Southgate Dr (Chicken Hill Lot),8/20/22 22:43,Inactive: Referred to Student Conduct
,,,,,
2022-00,8/21/22,Underage Possession of Alcohol,590 Washington St SW (New,8/21/2022 10,Inactive: Referred to
012874 2022-00,8/21/22,Public Intoxication/Underage Possession of,Residence Hall East) Washington St SW/Kent St,8/21/22 2:35,Student Conduct CBA
012886 2022-00,8/21/22,Alcohol/Fake ID Public Intoxication/Fake ID,570 Washington St (outside,8/21/22 2:45,Inactive: Referred to
012888 2022-00,8/21/22,Public Intoxication,Hoge Hall) 320 Drillfield Dr (sidewalk),8/21/22 2:46,Student Conduct CBA
012889 2022-00,8/21/22,Public Intoxication,600 N Main St,8/21/22 3:21,CBA
012890 2022-00,8/21/22,Public Intoxication/Underage Possession of,720 Washington St SW (West,8/21/22 3:24,Inactive: Referred to
012892 2022-00,8/21/22,Alcohol Drug/narcotic Violation,AJ) 901 Prices Fork Rd (Inn at,8/21/22 12:10,Student Conduct Inactive
012914 2022-00,8/21/22,Underage Possession of Alcohol/Fake ID,Tech) 630 Washington St SW,08/21/2022- 23:50,Inactive: Referred to
012930 2022-00,8/22/22,Motor Vehicle Theft,(Pritchard Hall) 560 Drillfield Dr (outside,8/22/22 8/22/22 15:30,Student Conduct Unfounded
013004 2022774,4/30/22,Underage Possession of Alcohol,Newman Library) 530 Washington St SW,4/29/22,Inactive: Referred by
9 2022805,7/17/22,Underage Possession of Alcohol,(O'Shaughnessy Hall) 185 Kent St (CID LLC),7/16/22,Student Conduct Inactive: Referred by
8 2022-00,8/24/22,Harassment,On Campus,03/23/2019- 12:00,Student Conduct Active
013151 2022-00,8/26/22,Underage Possession of Alcohol  X 10,770 Washington St SW,8/24/22 8/25/22 21:03,Inactive: Referred to
013272 2022-00,8/26/22,Public Intoxication/Underage Possession of,(Cochrane Hall) 200 Kent St (Newman Hall),8/26/2022 34,Student Conduct Inactive: Referred to
013294 2022-00,8/26/22,Alcohol/Fake ID Public Intoxication/Underage Possession of,2965 Oak Lane (outside SPH,8/26/22 1:43,Student Conduct Inactive: Referred to
13300,,Alcohol X 2,O),,Student Conduct
,,,,,
2022-00 013301,8/26/22,Underage Possession of Alcohol,3115 Oak Ln (SPH O),8/26/22 2:03,Inactive: Referred to Student Conduct
2022-00 013302,8/26/02,Public Intoxication/Underage Possession of Alcohol,3025 Oak Ln (outside  SPH M),8/26/22 2:46,Inactive: Referred to Student Conduct
2022772 4,5/10/22,Underage Possession of Alcohol,300 Drillfield Dr (Campbell Main),5/10/22,Inactive: Referred by Student Conduct
2022-00 013329,8/26/22,"Larceny, theft from Auto",Perry St/Turner St NW,08/22/2022- 8/23/22 08:00,Inactive
2022-00 013378,8/26/22,"Larceny, all Other/Receiving / Possession of Stolen Goods",180 Kent St (outside Vawter Hall),8/26/22 23:31,Inactive
2022-00 013379,8/26/22,Underage Possession of Alcohol,570 Washington St (outside Hoge Hall),8/26/22 23:40,Inactive: Referred to Student Conduct
2022-00 013387,8/27/21,"Vandalism/destruction of Property/Larceny, Theft from Building",720 Washington St SW (West AJ),8/27/22 0:12,Inactive
2022-00 013394,8/27/22,Public Intoxication,290 College Ave (across street from Squires),8/27/22 2:21,CBA
2022-00 013455,8/27/22,"Larceny, all Other",630 Washington St SW (Pritchard Hall),8/27/22 22:36,Inactive
2022-00 013458,8/27/22,"Larceny, theft from Building",630 Washington St SW (Pritchard Hall),8/27/22 23:02,Inactive
2022-00 013472,8/28/22,Public Intoxication,185 Kent St (CID LLC),8/28/2022 52,Inactive: Referred to Student Conduct
2022-00 013480,8/28/22,Vandalism/destruction of Property,630 Washington St SW (Pritchard Hall),8/28/22 2:32,Inactive
2022-00 013500,8/28/22,Vandalism/destruction of Property,285 Ag Quad Ln (in Dietrick Lot),08/26/2022- 8/28/22 00:00,Inactive
2022-00 013566,8/29/22,Vandalism/destruction of Property,630 Washington St SW (Pritchard Hall),8/29/22 9:15,Inactive
2022-00 013621,8/30/22,Underage Possession of Tobacco,385 West Campus Dr (outside Hillcrest Hall),8/30/22 4:26,Inactive: Referred to Student Conduct
,,,,,
2022-00,8/30/22,"Larceny, all Other",430 Old Turner St (in front of,08/23/2022- 08:00,Inactive
013656 2022-00,8/31/22,Public Intoxication,Lavery Hall) 290 College Ave (between,8/30/22 8/31/22 00:55,CBA
13723,,,Squires Student Center & Henderson Hall),,
2022751 6,5/8/22,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),5/8/22,Inactive: Referred by Student Conduct
2022838 8,8/19/22,Underage Possession of Alcohol,201 Ag Quad Ln (Slusher Tower),8/19/22,Inactive: Referred by Student Conduct
,,,MONTHLY CRIME LOG: SEPTEMBER 2022,Occurrence,
2022-00,8/31/22,Possession of Controlled Substance/,260 Alumni Mall (Pearson,(s) 8/31/2022 06:23,CBA
13729,,Underage Possession of Marijuana/Underage Possession of Tobacco,Hall),,
2022-00 013796,8/31/22,Sexual Assault/Rape,410 Washington St SW (outside Miles Hall),09/01/2021- 9/30/21 00:00,Inactive
2022-00 013803,8/31/22,"Larceny, theft from Building",895 Washington St SW (McComas Hall),8/27/22 21:30,Inactive
2022839 4,8/18/22,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),8/18/22,Inactive: Referred by Student Conduct
2022-00 013846,9/1/22,Vandalism/destruction of Property,430 Old Turner St (between Lavery & Kelly  Hall),08/31/2022- 9/1/22 20:00,Inactive
2022-00 013881,9/1/22,"Larceny, all Other",225 Stanger St (outside McBryde Hall),08/30/2022- 9/1/22 00:00,Inactive
2022-00 013892,9/1/22,"Larceny, all Other",201 Ag Quad Ln ( outside Slusher Wing),9/1/22 18:20,Inactive
2022-00 013908,9/2/22,Public Intoxication/Refuse to Identify,570 Washington St SW (Hoge Hall),9/2/2022 4,Inactive: Referred to Student Conduct
2022-00 013909,9/2/22,Drug/ Narcotics Violation,630 Washington St SW (Pritchard Hall),9/2/2022 9,Inactive: Referred to Student Conduct
2022-00 013910,9/2/22,Felonious Assault by Strangulation,185 Kent St (CID Building),8/26/22 22:30,Inactive
2022-00 013913,9/2/22,Felonious Assault by Strangulation,630 Washington St SW (Pritchard Hall),09/01/2022- 9/2/22 11:50,Inactive: Referred to Student Conduct
2022-00 013914,9/2/22,Sex Offense/ Rape/Felonious Assault by Strangulation/Object Sexual Penetration,185 Kent St (CID Building),8/24/22 0:00,Inactive
,,,,,
2022-00,9/2/22,Trespass,630 Washington St SW,9/2/22 14:00,Inactive
013951 2022-00,9/2/22,"Larceny, all Other",(Pritchard Hall) 630 Washington St SW,09/01/2022- 19:15,Inactive
013952 2022-00,9/2/22,Underage Possession of Alcohol X 14,(Pritchard Hall) 201 Ag Quad Ln (Slusher,9/2/22 9/2/22 20:21,Inactive: Referred to
013976 2022-00,9/2/22,Underage Possession of Alcohol X 2,Tower) 285 Ag Quad Ln (Dietrick,9/2/22 21:06,Student Conduct Inactive: Referred to
013977 2022-00,9/2/22,Underage Possession of Alcohol,Hall) 530 Washington St SW,9/2/22 21:48,Student Conduct Inactive: Referred to
013984 2022-00,9/2/22,Fraudulent  ID,(O'Shaughnessy) 527 Callaghan-Sheridan Way,9/2/22 22:13,Student Conduct CBA
013987 2022-00,9/2/22,Underage Possession of Alcohol,201 Ag Quad Ln (Slusher,9/22/22 22:29,Inactive: Referred to
013990 2022-00,9/2/22,Underage Possession of Alcohol X 4,Hall) 630 Washington St SW,9/2/22 22:34,Student Conduct Inactive: Referred to
013991 2022-00,9/2/22,Underage Possession of Alcohol X 4,(Pritchard Hall) 630 Washington St SW,9/2/22 22:54,Student Conduct Inactive: Referred to
013994 2022-00,9/2/22,Harassment,(Pritchard Hall) 590 Washington St SW (New,8/28/22 12:00,Student Conduct Inactive: Referred to
013995 2022-00,9/2/22,Vandalism/destruction of Property,Residence Hall East) 720 Washington St SW,9/2/22 2:00,Title IX Inactive
013996 2022-00,9/2/22,Underage Possession of Alcohol/Public,(West AJ) 630 Washington St SW,9/2/22 23:29,Inactive: Referred to
013998 2022-00,9/2/22,Intoxication Underage Possession of Alcohol,(Pritchard Hall) 630 Washington St SW,9/2/22 23:29,Student Conduct Inactive: Referred to
013998 2022-00,9/2/22,"Larceny, theft from Building",(Pritchard Hall) 720 Washington St SW,9/2/22 20:00,Student Conduct Inactive
013999 2022-00,9/3/22,Underage Possession of Alcohol/Public,(West AJ) 180 Kent St (Vawter Hall),9/2/22 23:55,Inactive: Referred to
14004,,Intoxication,,,Student Conduct
,,,,,
2022-00 014009,9/3/22,Underage Possession of Alcohol/Public Intoxication/Fake ID,410 Drillfield Dr (West Eggleston),9/3/22 0:48,Inactive: Referred to Student Conduct
2022-00 014012,9/3/22,Vandalism/destruction of Property,720 Washington St SW (West AJ),9/3/2022 45,Inactive: Referred to Student Conduct
2022-00 014013,9/3/22,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),9/3/22 1:14,Inactive: Referred to Student Conduct
2022-00 014025,9/3/22,Underage Possession of Alcohol,201 Ag Quad Ln (Slusher Hall),9/3/22 2:18,Inactive: Referred to Student Conduct
2022-00 014027,9/3/22,Possession of Stolen Property,630 Washington St SW (Pritchard Hall),09/02/2022- 9/3/22 23:29,Inactive: Referred to Student Conduct
2022-00 014062,9/3/22,Extortion by Threat,720 Washington St SW (West AJ),9/3/22 1:00,Inactive
2022-00 014080,9/3/22,Trespassing / Burglary,Washington St (Lane Stadium),9/3/22 19:52,Inactive: Referred to Student Conduct
2022-00 014080,9/3/22,Trespassing X 2,Washington St (Lane Stadium),9/3/22 19:52,Inactive: Referred to Student Conduct
2022-00 014082,9/3/22,Underage Possession of Alcohol  X 9,180 Kent St (Vawter Hall),9/3/22 20:09,Inactive: Referred to Student Conduct
2022-00 014098,9/3/22,Underage Possession of Alcohol  X 3,630 Washington St SW (Pritchard Hall),9/3/22 22:53,Inactive: Referred to Student Conduct
2022-00 014099,9/3/22,Underage Possession of Alcohol/Public Intoxication,290 College Ave (Squires Student Center,9/3/22 22:56,Inactive: Referred to Student Conduct
2022-00 014101,9/3/22,Underage Possession of Alcohol  X 2,Intersection Duckpond Dr/ Smithfield Rd,9/3/22 23:17,Inactive: Referred to Student Conduct
2022-00 014108,9/3/22,False Alarm for Fire,530 Washington St SW (O'Shaughnessy),09/03/2022- 9/4/22 23:49,Inactive
2022-00 014113,9/4/22,Underage Possession of Alcohol/Public Intoxication,610 Washington St SW (Peddrew-Yates Hall),9/4/2022 2,Inactive: Referred to Student Conduct
2022-00 014114,9/4/22,Public Intoxication / Underage Possession of Alcohol,2875 Oak Ln (SPH-Q),9/4/2022 13,CBA
,,,,,
2022-00,9/4/22,Public Intoxication,217 College Ave (Squires,9/4/22 0:48,CBA
014120 2022-00,9/4/22,Public Intoxication / Underage Possession of,Parking Lot) 285 Ag Quad Ln (Dietrick,9/4/22 1:18,Inactive: Referred to
014128 2022-00,9/4/22,Alcohol X 2 Public Intoxication,Hall) 410 Drillfield Dr (West,9/4/22 2:15,Student Conduct CBA
014133 2022-00,9/4/22,Public Intoxication / Underage Possession of,Eggleston) 530 Washington St SW,9/4/22 2:32,Inactive: Referred to
014135 2022-00,9/4/22,Alcohol Public Intoxication / Underage Possession of,(O'Shaughnessy) 720 Washington St SW,9/4/22 2:45,Student Conduct Inactive: Referred to
014138 2022-00,9/4/22,"Alcohol Larceny, all Other/Vandalism/destruction of",(West AJ) 185 Kent St (CID Building),09/03/2022- 17:00,Student Conduct Inactive
014158 2022-00,9/4/22,Property Underage Possession of Alcohol X 8,630 Washington St SW,9/4/22 9/4/22 23:29,Inactive: Referred to
014184 2022-00,9/4/22,Underage Possession of Alcohol,(Pritchard Hall) 570 Washington St SW (Hoge,9/4/22 23:30,Student Conduct Inactive: Referred to
014185 2022-00,9/4/22,Underage Possession of Alcohol  X 7,Hall) 630 Washington St SW,9/4/22 23:38,Student Conduct Inactive: Referred to
014186 2022-00,9/4/22,Underage Possession of Alcohol  X  8,(Pritchard Hall) 630 Washington St SW,9/4/22 23:50,Student Conduct Inactive: Referred to
014187 2022-00,9/5/22,"Vandalism/destruction of Property/Larceny,",(Pritchard Hall) 530 Washington St SW,09/04/2022- 23:30,Student Conduct Inactive
014196 2022-00,9/5/22,"theft from Building Larceny, theft from Building",(O'Shaughnessy) 530 Washington St SW,9/5/22 09/04/2022- 23:30,Inactive
014198 2022-00,9/5/22,Vandalism/destruction of Property,(O'Shaughnessy) 430 Old Turner St (Lavery,9/5/22 09/02/2022- 21:00,Inactive
014211 2022758,5/6/22,Underage Possession of Alcohol,Hall) 190 West Campus Dr (New,9/5/22 5/6/22,Inactive: Referred by
6 2022-00,9/6/22,"Larceny, theft from Building",Hall West) 530 Washington St SW,09/01/2022- 16:30,Student Conduct Inactive
14321,,,(O'Shaughnessy),9/6/22,
,,,,,
2022-00 014335,9/6/22,Threats by Computer,On Campus,9/6/22 18:15,Inactive
2022-00 014347,9/6/22,Sexual Assault/Rape,201 Ag Quad Ln (Slusher Hall),09/02/2022- 9/3/22 21:30,Inactive
2022-00 014364,9/6/22,Simple Assault,155 Otey St (Donaldson- Brown Hall),9/6/22 0:00,Inactive: Referred to Student Conduct
2022-00 014381,9/7/22,Vandalism/destruction of Property,290 College Ave (Squires Student Center,9/5/22 20:00,Active
2022-00 014409,9/7/22,Harassment,225 Stanger St (outside McBryde Hall),9/7/22 12:30,Inactive
2022-00 014430,9/7/22,Vandalism/destruction of Property,Southgate Dr,9/7/22 16:00,Inactive
2022-00 014462,9/8/22,Underage Possession of Alcohol  X  7,Duckpond,9/7/22 22:58,Inactive: Referred to Student Conduct
2022-00 014463,9/8/22,Trespassing/Flee Law Enforcement X 3,185 Beamer Way (Lane Stadium),9/8/2022 4,Inactive: Referred to Student Conduct
2022-00 014475,9/8/22,Underage Possession of Alcohol  X  3,630 Washington St SW (Pritchard Hall),9/8/22 3:00,Inactive: Referred to Student Conduct
2022-00 014502,9/8/22,"Larceny, all Other",180 Kent St (outside Vawter Hall),09/07/2022- 9/8/22 17:00,Inactive
2022-00 014507,9/8/22,"Larceny, all Other",201 Ag Quad Ln (outside Slusher Wing),09/07/2022- 9/8/22 15:11,Inactive
2022-00 014509,9/8/22,Indecent Exposure,630 Washington St SW (outside Pritchard Hall),9/2/22 0:00,Inactive
2022-00 014510,9/8/22,"Larceny, all Other",530 Washington St SW (outside O'Shaughnessy),09/07/2022- 9/8/22 16:00,Inactive
2022-00 014528,9/8/22,Abduction/Kidnapping/Simple Assault,150 Kent St (Owens Hall),9/8/22 16:00,Inactive: Referred to Student Conduct
2022-00 014528,9/8/22,Harassment x 3,150 Kent St (Owens Hall),9/8/22 16:00,Inactive: Referred to Student Conduct
,,,,,
2022-00,9/8/22,Extortion by Threat,570 Washington St SW (Hoge,09/07/2022- 15:00,Inactive
014538 2022-00,9/9/22,Underage Possession of Alcohol,Hall) 630 Washington St SW,9/8/22 9/9/22 34,Inactive: Referred to
014565 2022-00,9/9/22,Underage Possession of Alcohol / Fake ID,(Pritchard Hall) 570 Washington St SW (Hoge,9/9/22 2:13,Student Conduct Inactive: Referred to
014574 2022843,8/21/21,Underage Possession of Alcohol,Hall) 630 Washington St SW,8/21/22,Student Conduct Inactive: Referred: by
0 2022877,8/27/21,Underage Possession of Alcohol,(Pritchard Hall) 630 Washington St SW,8/27/22,Student Conduct Inactive: Referred: by
4 2022880,8/26/22,Underage Possession of Alcohol,(Pritchard Hall) 410 Washington St SW (Miles,8/26/22,Student Conduct Inactive: Referred: by
7 2022-00,9/9/22,"Larceny, all Other",Hall) 240 West Campus Dr (outside,9/6/22 16:30,Student Conduct Inactive
014578 2022-00,9/9/22,Vandalism/destruction of Property,Cranwell International Center) 220 Ag Quad Ln (outside,0.000635863 08/28/2022- 00:00,Inactive
014588 2022-00,9/9/22,"Larceny, all Other",Latham Hall) 180 Kent St (outside Vawter,9/9/22 9/7/22 23:17,Inactive
014598 2022-00,9/9/22,Computer Fraud,Hall) 560 Drillfield Dr (Newman,9/6/22 12:21,Inactive
014612 2022-00,9/9/22,Underage Possession of Alcohol X 11,Library) 190 West Campus Dr (New,9/9/22 23:23,Inactive: Referred to
014657 2022-00,9/10/22,Underage Possession of Alcohol X 4,Hall West) 570 Washington St SW (Hoge,9/10/22 1:07,Student Conduct Inactive: Referred to
014669 2022-00,9/10/22,Underage Possession of Alcohol/Public,Hall) 185 Kent St (CID Building),9/10/21 1:13,Student Conduct CBA
014670 2022-00,9/10/22,Intoxication/Fake ID Underage Possession of Alcohol/Public,410 Drillfield Dr (West,9/10/22 1:24,Inactive: Referred to
014674 2022-00,9/10/22,Intoxication Underage Possession of Alcohol/Public,Eggleston) 530 Washington St SW,9/10/22 1:50,Student Conduct Inactive: Referred to
14676,,Intoxication,(O'Shaughnessy),,Student Conduct
,,,,,
2022-00 014677,9/10/22,Underage Possession of Alcohol/Public Intoxication,700 Washington St SW (AJ East),9/10/22 1:51,Inactive: Referred to Student Conduct
2022-00 014681,9/10/22,"Larceny,theft from Building",530 Washington St SW (O'Shaughnessy),9/10/22 2:00,Inactive
2022-00 014689,9/10/22,Vandalism/destruction of Property,180 Kent St (Vawter Hall),9/10/22 2:00,Inactive
2022-00 014691,9/10/22,Sex Offense/ Fondling,440 Drillfield Dr (Main Eggleston Hall),03/25/2022- 4/11/22 00:00,Inactive
2022-00 014693,9/10/22,Public Intoxication,115 Kent St,9/10/22 3:48,CBA
2022-00 014726,9/10/22,Vandalism/destruction of Property,630 Washington St SW (Pritchard Hall),9/10/22 11:20,Inactive: Referred to Student Conduct
2022-00 014732,9/10/22,Public Intoxication,185 Beamer Way (Lane Stadium),9/10/22 18:53,CBA
2022-00 014734,9/10/22,Public Intoxication,1040 Drillfield Dr,9/10/22 19:25,CBA
2022-00 014736,9/10/22,Public Intoxication,185 Beamer Way (Lane Stadium),9/10/22 19:07,CBA
2022-00 014737,9/10/22,Underage Possession of Alcohol/Public Intoxication,185 Beamer Way (Lane Stadium),9/10/22 19:15,CBA
2022-00 014738,9/10/22,Public Intoxication,185 Beamer Way (Lane Stadium),9/10/22 19:20,CBA
2022-00 014739,9/10/22,Underage Possession of Alcohol,720 Washington St SW (West AJ),9/10/22 19:20,Inactive: Referred to Student Conduct
2022-00 014741,9/11/22,Public Intoxication,185 Beamer Way (Lane Stadium),9/10/22 19:25,CBA
2022-00 014744,9/10/22,Public Intoxication,185 Beamer Way (Lane Stadium),9/10/22 19:42,CBA
2022-00 014746,9/10/22,Underage Possession of Alcohol/Public Intoxication,185 Beamer Way (Lane Stadium),9/10/22 19:45,CBA
,,,,,
2022-00,9/10/22,Underage Possession of Alcohol/Public,330 Sterrett Dr,9/10/22 19:50,CBA
014748 2022-00,9/10/22,Intoxication Public Intoxication,185 Beamer Way (Lane,9/10/22 19:42,CBA
014750 2022-00,9/10/22,Underage Possession of Alcohol/Public,Stadium) 201 Ag Quad Ln (Slusher,9/10/22 20:10,Inactive: Referred to
014753 2022-00,9/10/22,Intoxication Public Intoxication,Wing) 185 Beamer Way (Lane,9/10/22 20:16,Student Conduct CBA
014754 2022-00,9/10/22,Underage Possession of Alcohol/Public,Stadium) 185 Beamer Way (Lane,9/10/22 20:20,CBA
014756 2022-00,9/11/22,Intoxication Underage Possession of Alcohol/Public,Stadium) Cassell Coliseum Parking Lot,9/11/22 20:29,Inactive: Referred to
014759 2022-00,9/10/22,Intoxication Public Intoxication,185 Beamer Way (Lane,9/10/22 19:38,Student Conduct Inactive: Referred to
014760 2022-00,9/10/22,Public Intoxication,Stadium) 185 Beamer Way (Lane,9/10/22 18:35,Student Conduct Inactive: Referred to
014762 2022-00,9/10/22,Simple Assault X 2,Stadium) 185 Beamer Way (Lane,9/10/22 20:45,Student Conduct Inactive
014766 2022-00,9/10/22,Public Intoxication/Fake ID,Stadium) 635 Prices Fork Rd (near,9/10/22 21:29,CBA
014768 2022-00,9/10/22,Disorderly Conduct,Goodwin Hall) 185 Beamer Way (Lane,9/10/22 21:38,CBA
014772 2022-00,9/10/22,"Public Intoxication//Larceny,all Other/Falsely",Stadium) 185 Beamer Way (Lane,9/10/22 21:45,CBA
014773 2022-00,9/10/22,Identifying to LE Disorderly Conduct,Stadium) 185 Beamer Way (Lane,9/10/22 20:41,Inactive: Referred to
014774 2022-00,9/10/22,Underage Possession of Alcohol/Public,Stadium) 185 Beamer Way (Lane,9/10/22 20:30,Student Conduct Inactive: Referred to
014777 2022-00,9/10/22,Intoxication Vandalism/destruction of Property,Stadium) 720 Washington St SW,9/10/22 2:00,Student Conduct Inactive
14782,,,(West AJ),,
,,,,,
2022-00 014785,9/10/22,"Larceny, theft from Building/Vandalism/ destruction of Property",720 Washington St SW (West AJ),9/10/22 2:00,Inactive
2022-00 014793,9/11/22,Fake ID,185 Beamer Way (Lane Stadium),9/10/22 19:00,Inactive
2022-00 014794,9/11/22,Vandalism/destruction of Property/Tampering with Fire Equipment,201 Ag Quad Ln (Slusher Wing),09/10/2022- 9/11/22 19:30,Inactive
2022-00 014808,9/11/22,"Larceny,theft from Building",530 Washington St SW (O'Shaughnessy),09/10/2022- 9/11/22 22:30,Inactive
2022-00 014824,9/11/22,Underage Possession of Alcohol,590 Washington St SW (New Residence Hall East),9/11/22 20:43,Inactive: Referred to Student Conduct
2022-00 014833,9/11/22,Tampering with Fire Equipment,770 Washington St (Cochrane Hall),9/11/22 4:28,CBA
