Ca Number,Incident Type,Date/Time Occurred,Date/Time Reported,Location,Disposition
UM 24-159080,U of Force,06/11/2024 1808,6/11/24,4th St  / Oak St ,Closed
UM 24-159091,Uncured Business,06/11/2024 1810,6/11/24,2901 Talmage Ave ,Closed
UM 24-159329,Health Welfare Hold,06/11/2024 2249,6/11/24,1721 University Ave ,Closed
UM 24-157782,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Damage to Motor Vehicle,06/07/2024 1700,6/10/24,1068 27th Ave ,Inactive
UM 24-157833,Miscellaneous,06/08/2024 1500,6/10/24,2515 University Ave ,Closed
UM 24-157976,Miscellaneous,06/10/2024 0900,6/10/24,84 Church St ,Closed
UM 24-158123,Carry Weapon w/o Permit,06/10/2024 1726,6/10/24,2700 University Ave ,
UM 24-158195,Bike Theft,06/10/2024 1210,6/10/24,111 Church St ,Inactive
UM 24-151834,No Insurance in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / No Valid Driver's Licen,06/04/2024 1453,6/4/24,1923 University Ave ,Closed
UM 24-150534,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,06/03/2024 1204,6/3/24,Bloomington Ave / E 21st ,Closed
UM 24-156543,No Valid Driver's Licen / Warrant,06/09/2024 0107,6/9/24,4th St  / 15th Ave ,Closed
UM 24-156721,Theft,06/08/2024 2029,6/9/24,2020 16th Ave S,Closed
UM 24-157010,Hit and Run-Unattended Vehicle,06/09/2024 1300,6/9/24,1811 5th St ,Closed
UM 24-157226,Warrant,06/09/2024 1841,6/9/24,1 Washington Ave ,Arrest
UM 24-157270,Theft / Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,06/09/2024 1932,6/9/24,1031 5th St ,Closed
UM 24-157392,Miscellaneous,06/09/2024 2207,6/9/24,616 Washington Ave ,Closed
UM 24-156199,Assault w/ Dangerous Weapon,06/08/2024 1852,6/8/24,615 Washington Ave ,
UM 24-155721,Damage to Property,06/08/2024 0204,6/8/24,225 19th Ave S,Closed
UM 24-154590,Damage to Property,06/07/2024 0200,6/7/24,1521 University Ave ,
UM 24-154854,Assist Other Agency,06/07/2024 1433,6/7/24,2301 University Ave ,Closed
UM 24-155087,Miscellaneous,06/07/2024 1815,6/7/24,Intercampus Transitway / Energy Park Dr,Closed
UM 24-155121,Theft from Buildling,06/04/2024 0630,6/7/24,500 Harvard St ,Closed
UM 24-155362,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,06/07/2024 2255,6/7/24,4th St  / 16th Ave ,Closed
UM 24-154115,Narcotics Violation / Warrant,06/06/2024 1936,6/6/24,1122 University Ave ,
MP 24-155548,Robbery,6/8/24 2:12,6/8/24,4th St S & 19th Ave S,Reported
MP 24-154853,Open Bottle in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,6/7/24 14:30,6/10/24,4th St  & 10th ST ,Reported
UM 24-153595,Trespass,06/06/2024 0800,6/6/24,117 Pleasant St ,Closed
UM 24-153602,Damage to Property,05/29/2024 1620,6/6/24,312 Church St ,Closed
UM 24-153701,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,06/05/2024 0530,6/6/24,80 Church St ,
UM 24-153764,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,06/06/2024 1331,6/6/24,4th St  / 16th Ave ,
UM 24-154004,Miscellaneous / U of Force,06/06/2024 1750,6/6/24,551 Washington Ave ,
UM 24-154097,Theft from Building,06/06/2024 1300,6/6/24,701 15 Ave ,
UM 24-154189,Theft,06/06/2024 1600,6/6/24,207 Pleasant St ,Closed
UM 24-152490,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,06/04/2024 1845,6/5/24,601 Delaware St ,Closed
UM 24-152618,Warrant,06/05/2024 1035,6/5/24,Delaware St  / Harvard St,Arrest
UM 24-152909,Miscellaneous,06/05/2024 1533,6/5/24,2001 Bloomington Ave,Closed
UM 24-153016,Non-Vehicular Accident,06/05/2024 1720,6/5/24,1901 4 St ,Closed
UM 24-151363,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,06/04/2024 0453,6/4/24,1024 27th Ave ,Closed
UM 24-151918,Recovered Property,06/04/2024 1610,6/4/24,505 Washington Ave ,Closed
UM 24-152169,Parking Violation,06/04/2024 2022,6/4/24,5th St  / 18 Ave ,Closed
UM 24-151665,Bike Theft,05/31/2024 1200,6/4/24,2601 University Ave ,Inactive
UM 24-151681,Recovered Gun,06/04/2024 1241,6/4/24,500 Harvard St ,Closed
MP 24-706554,Hit and Run-Property Damage,5/28/24 14:30,6/5/24,Cedar Ave S & Riverside Ave,Reported
MP 24-148698,Terroristic Threats,6/1/24 16:31,6/5/24,2312 6th St S,Reported
MP 23-706498,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,5/23/24 6:10,6/5/24,701 15th Ave ,Reported
UM 24-150895,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,06/02/2024 1900,6/3/24,1038 6th St ,Inactive
UM 24-151172,Hit/Run Property Damage,06/03/2024 1100,6/3/24,80th Church St ,Closed
UM 24-149362,Auto Theft,06/02/2024 0427,6/2/24,21 11th Ave ,Inactive
UM 24-149484,Trespass / Interfere with Privacy,06/02/2024 0912,6/2/24,1901 4th St ,
UM 24-149692,Bike Theft,06/01/2024 2000,6/2/24,614 Delaware St ,Inactive
UM 24-149810,Miscellaneous,06/02/2024 1549,6/2/24,1068 27th Ave ,Closed
UM 24-147997,Illegal Posssion of Handgun / Narcotics,05/31/2024 2252,6/1/24,300 ymour PL ,
,Violation / Trespass / Recovered Vehicle,,,,
UM 24-148331,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,06/01/2024 0924,6/1/24,University ave  / 29th Ave,Closed
UM 24-148346,Crisis Intervention,06/01/2024 0939,6/1/24,930 University Ave ,Closed
UM 24-149037,U of Force / Assist Other Agency,06/01/2024 1930,6/1/24,157 Pillsbury Dr ,Closed
UM 24-147359,Driving After Suspension,05/31/2024 1000,5/31/24,29th Ave  / 4th St ,Closed
UM 24-147805,Non-Vehicular Accident,05/31/2024 1837,5/31/24,1811 5th St ,Closed
UM 24-147895,Warrant,05/31/2024 2026,5/31/24,225 19th Ave S,Arrest
UM 24-146574,Warrant,05/30/2024 1252,5/30/24,2150 W River Pkwy,Closed
UM 24-146315,Trespass,05/30/2024 0618,5/30/24,401 Oak St ,Closed
UM 24-146352,Warrant,05/30/2024 0806,5/30/24,1024 27th Ave ,Arrest
UM 24-146454,Crisis Intervention,05/30/2024 1021,5/30/24,1 20th Ave S,Closed
UM 24-146486,Assault,05/30/2024 1000,5/30/24,Transitway / 25th Ave ,
UM 24-146598,Damage to Property,05/29/2024 1846,5/30/24,301 19th Ave S,Closed
UM 24-146797,Bike Theft,05/29/2024 1700,5/30/24,309 19th Ave S,Inactive
UM 24-146036,Uncured Business,05/29/2024 2159,5/30/24,29th Ave  / Como Ave ,Closed
UM 24-145646,Theft from Building,05/27/2024 2134,5/29/24,207 Church St ,
UM 24-144426,Burglary of Business,05/24/2024 1600,5/28/24,117 Pleasant St ,Closed
UM 24-144801,Fal Emergency Call,05/28/2024 1955,5/28/24,500 Harvard St ,Closed
UM 24-144138,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,04/28/2024 0530,5/28/24,1049 29th Ave ,
UM 24-142836,Fail to Stop / Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,05/26/2024 1746,5/27/24,Malcom Ave  / Intercampus Transitway,Closed
UM 24-141971,Fal Info / Warrant,05/25/2024 2010,5/26/24,300 19th Ave ,
UM 24-142077,Driving After Revoked,05/25/2024 2153,5/26/24,4th St  / 12th Ave ,Closed
UM 24-142469,No Valid Driver's Licen,05/26/2024 1007,5/26/24,University Ave  / 23rd Ave,Closed
UM 24-142701,Stolen Property Offen / Narcotics Violation /,05/26/2024 1450,5/26/24,2700 University Ave ,
,Tamper with Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Recovered Vehicle,,,,
UM 24-142749,Trespass,05/26/2024 1606,5/26/24,701 Fulton St ,Closed
UM 24-142889,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,05/26/2024 1800,5/26/24,2275 Larpenteur Ave W,Closed
UM 24-142978,Warrant,05/26/2024 2011,5/26/24,300 Washington Ave ,Closed
UM 24-141169,Driving After Revoked,05/25/2024 0129,5/25/24,14th Ave  / 4th St ,Closed
UM 24-141823,Damage to Property,05/25/2024 0103,5/25/24,501 Washington Ave ,
UM 24-140466,Identity Theft / Warrant / Recovered Vehicle,05/24/2024 1333,5/24/24,2700 University Ave ,
UM 24-139062,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Damage to Motor Vehicle,05/22/2024 2000,5/23/24,1032 27th Ave ,
TCT24-002,Auto Theft,4/3/24 1:00,5/24/24,"900 Washington Ave S,",Reported to another agency
UM 24-140048,Driving While Intoxicated,05/24/2024 0050,5/24/24,2025 River Rd E,
UM 24-140121,Assault,05/24/2024 0315,5/24/24,500 Harvard St ,
MP 24-139778,Auto Theft,5/23/24 20:16,5/24/24,2450 Riverside Ave,Reported
UM 24-139032,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,05/23/2024 0646,5/23/24,1800 University Ave ,Closed
UM 24-139085,Impound Abandoned Vehicle,05/23/2024 0853,5/23/24,501 Washington Ave ,Closed
UM 24-139478,Theft from Building,05/13/2024 1600,5/23/24,1923 University Ave ,
UM 24-139907,Burglary of Dwelling / Interfere with Privacy,05/23/2024 2206,5/23/24,210 Delaware St ,
UM 24-139944,Health Welfare Hold,05/23/2024 2249,5/23/24,1 Washington Ave ,Closed
UM 24-138792,No Valid Driver's Licen,05/22/2024 2240,5/23/24,4th St  / 8th Ave ,Closed
UM 24-139011,Warrant,05/23/2024 0430,5/23/24,930 University Ave ,Arrest
UM 24-138109,Theft from Building,12/06/2023 1500,5/22/24,2025 River Rd E,
UM 24-138080,Recover Property,05/22/2024 1205,5/22/24,200 Oak St ,Closed
MP 24-706135,Bike Theft,5/17/24 10:00,5/22/24,229 19th Ave S,Reported
MP 24-135389,Assault,5/19/24 21:48,5/22/24,2316 6th St S,Reported
MP 24-136873,Terroristic Threats,5/17/24 21:30,5/22/24,2450 Riverside Ave,Reported
MP 24-136241,Assault,4/25/24 19:00,5/22/24,1308 4th St ,Reported
UM 24-137714,Uncured Business,05/21/2024 2321,5/22/24,615 Washington Ave ,Closed
UM 24-137158,Mysterious Disappearance,05/21/2024 1130,5/21/24,501 Washington Ave ,Closed
UM 24-137669,Damage to Property,05/21/2024 2209,5/21/24,225 Pleasant St ,Closed
UM 24-135655,Health Welfare Hold,05/20/2024 0804,5/20/24,19th Ave S / 3rd St S,Closed
UM 24-135679,Burglary of Business / Damage to Property,05/17/2024 1400,5/20/24,1920 2nd St S,Closed
UM 24-135502,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,05/20/2024 0012,5/20/24,1235 4th St ,Closed
UM 24-134471,Consumption-Liquor by Minor / Suspicious Fire,05/19/2024 0113,5/19/24,315 19th Ave ,Closed
UM 24-134777,Burglary of Dwelling,05/19/2024 0954,5/19/24,306 10th Ave ,Inactive
UM 24-135299,Bike Theft,05/19/2024 1300,5/19/24,326 17th Ave ,Inactive
UM 24-133310,Warrant,05/18/2024 0115,5/18/24,14th Ave  / 4th St ,Arrest
UM 24-133499,Crisis Intervention,05/18/2024 0959,5/18/24,1053 29th Ave ,Closed
UM 24-133506,No Valid Driver's Licen,05/18/2024 1004,5/18/24,326 17th Ave ,Closed
UM 24-133756,Miscellaneous,05/18/2024 1436,5/18/24,123 Havard St ,Closed
UM 24-134017,Suspicious Fire,05/18/2024 1845,5/18/24,401 Oak St ,Closed
UM 24-134226,Narcotic Violation / Fal Name / Warrant,05/18/2024 2139,5/18/24,1053 29th Ave ,
UM 24-132391,Threats,05/17/2024 1105,5/17/24,300 Washington Ave ,
UM 24-132582,Hit/Run Property Damage,05/17/2024 1417,5/17/24,325 14th Ave ,Closed
UM 24-132822,Driving After Revoked,05/17/2024 1755,5/17/24,1900 4th St ,Closed
UM 24-132827,Theft / Trespass / Obstruction,05/17/2024 1800,5/17/24,351 East River Pkwy,
UM 24-131448,Recover Property,05/16/2024 1438,5/16/24,323 14th St ,Closed
MP 24-129444,Auto Theft,5/14/24 16:00,5/17/24,25th Ave S & 7th St S,Reported
MP 24-706026,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,5/15/24 8:00,5/17/24,1101 University Ave ,Reported
UM 24-131896,Trespass,05/16/2024 2201,5/17/24,501 Washington Ave ,Inactive
UM 24-131066,Damage to Property Graffiti,05/16/2024 0732,5/16/24,159 Pillsbury Dr ,Inactive
UM 24-131103,Damage to Property Graffiti,05/15/2024 2335,5/16/24,310 Pillsbury Dr ,
UM 24-131204,Driving After Revoked,05/16/2024 1044,5/16/24,2001 University Ave ,Closed
UM 24-131269,Mysterious Disappearance,05/10/2024 1232,5/16/24,1212 University Ave ,Inactive
UM 24-131555,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,05/16/2024 1627,5/16/24,2001 Bloomington Ave S,
UM 24-131010,Health Welfare Hold,05/16/2024 0336,5/16/24,1 Washington Ave ,Closed
UM 24-130046,Burglary / Damage to Property Graffiti,05/12/2024 0327,5/15/24,123 Harvard St ,
UM 24-130114,Warrant,05/15/2024 0936,5/15/24,390 29th Ave ,Arrest
UM 24-130525,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,05/15/2024 1203,5/15/24,2340 4th St ,Inactive
UM 24-130593,Driving While Intoxicated / Refusal,05/15/2024 1804,5/15/24,University Ave  / 14th Ave,
UM 24-130679,Hit and Run - Unattended Vehicle,05/15/2024 1300,5/15/24,601 Delaware St ,Inactive
TC24-052,Liquor Law Violation,5/3/24 2:15,5/15/24,300 Washington Ave ,Reported
UM 24-129135,Miscellaneous,05/14/2024 1023,5/14/24,505 Washington Ave ,
UM 24-129227,Damage to Property / Recovered Property,05/14/2024 0001,5/14/24,271 19th Ave S,Inactive
UM 24-129469,Theft,05/13/2024 0000,5/14/24,909 Fulton St ,Inactive
UM 24-129793,Warrant,05/14/2024 2143,5/14/24,3329 University Ave ,Arrest
UM 24-129828,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,05/14/2024 2220,5/14/24,University Ave  / 25th Ave,Inactive
TC24-041,Stalking,24-Apr,5/14/24,Minneapolis Campus,Reported
TC24-042,Stalking,02/2024 to 04/2024,5/14/24,Minneapolis Campus,Reported
TC24-043,Domestic Violence,4/25/24,5/14/24,Commonwealth Terrace,Reported
TC24-044,Drug Law Violation,4/19/24,5/14/24,Pioneer Hall,Reported
TC24-045,Theft,4/22/24 0:00,5/14/24,Radius Apartments,Reported
TC24-046,Rape,22-Sep,5/14/24,Yudof Hall,Reported
TC24-047,Arson,5/2/24 18:10,5/14/24,Sanford Hall,Reported
TC24-048,Drug Law Violation,5/4/24 1:20,5/14/24,Bailey Hall,Reported
TC24-049,Liquor Law Violation,5/3/24 2:15,5/14/24,300 Washington ,Reported
TC24-050,Liquor Law Violation,5/4/24 3:30,5/14/24,Middlebrook Hall,Reported
TC24-051,Liquor Law Violation,5/5/24 12:54,5/14/24,Territorial Hall,Reported
TCT24-001,Disorderly Conduct,4/19/23 21:35,5/14/24,"112 Washington Place, Pittsburgh, PA",Reported to another agency
TCT24-001,Defiant Trespass,4/19/23 21:35,5/14/24,"112 Washington Place, Pittsburgh, PA",Reported to another agency
MP 24-705304,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,5/1/24 16:40,5/13/24,2512 7th St S,Reported
MP 24-705358,Theft,5/1/24 8:30,5/13/24,615 Washington Ave ,Reported
MP 24-705531,Bike Theft,5/6/24 20:00,5/13/24,310 15th Ave ,Reported
UM 24-126164,Miscellaneous,05/11/2024 1514,5/13/24,401 Oak St ,Closed
UM 24-128280,Theft,05/11/2024 1400,5/13/24,110 Union St ,Inactive
UM 24-128362,Theft,04/17/2024 1900,5/13/24,301 19 Ave ,Inactive
UM 24-128652,Non-Vehicular Accident,05/13/2024 1934,5/13/24,84 Church St ,Closed
UM 24-128680,Warrant,05/13/2024 2005,5/13/24,275 Cedar Ave S,Arrest
UM 24-127752,Warrant,05/12/2024 2229,5/13/24,301 Cedar Ave S,Arrest
UM 24-126684,Uncured Business,05/11/2024 2327,5/12/24,2525 University Ave ,Closed
UM 24-127226,Theft from Person,05/12/2024 1300,5/12/24,1901 4th St ,
UM 24-127416,No Valid Driver's Licen,05/12/2024 1646,5/12/24,17th Ave  / Elm Street ,Closed
UM 24-125537,No Valid Driver's Licen,05/10/2024 2338,5/11/24,Esx St  / Ontario St ,Closed
UM 24-125598,No Valid Driver's Licen,05/11/2024 0034,5/11/24,4th St  / Oak St ,Closed
UM 24-125703,Driving While Intoxicated-Refusal,05/11/2024 0250,5/11/24,Delaware St  / Huron Blvd,
UM 24-125812,Warrant,05/11/2024 0733,5/11/24,2001 Bloomington Ave,Arrest
UM 24-126242,Theft,05/08/2024 1200,5/11/24,1005 29th Ave ,Inactive
UM 24-126270,No Valid Driver's Licen,05/11/2024 1653,5/11/24,University Ave  / 23rd Ave,Closed
UM 24-126470,Warrant,05/11/2024 1942,5/11/24,1222 4th St ,Arrest
UM 24-126545,Warrant,05/11/2024 2051,5/11/24,Washington Ave  / Walnut,Arrest
UM 24-124738,Recovered Vehicle / Hit/Run Property Damage,05/10/2024 1313,5/10/24,10th Ave  / University Ave,
UM 24-124516,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,05/08/2024 1515,5/10/24,2275 Larpenteur Ave W,Inactive
UM 24-124727,Miscellaneous,05/05/2024 1500,5/10/24,1219 University Ave ,Closed
UM 24-125308,Trespass,05/10/2024 2024,5/10/24,1900 University Ave ,Closed
UM 24-124344,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,05/10/2024 0022,5/10/24,1101 Unviersity Ave ,
UM 24-124282,Careless Driving,05/09/2024 2301,5/10/24,4th Ave  / 11th Ave ,Closed
UM 24-124227,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,05/09/2024 2150,5/10/24,10th Ave  / 4th St ,Inactive
UM 24-124228,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,05/09/2024 2309,5/9/24,Pillsbury Dr  / Pleasant St,
UM 24-124195,Warrant,05/09/2024 2119,5/9/24,1440 5th St ,Arrest
UM 24-124090,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,02/25/2024 0000,5/9/24,11th Ave  / University Ave,Inactive
UM 24-123611,Trespass,05/09/2024 1222,5/9/24,1606 8th St ,
UM 24-123596,Theft from Building,05/07/2024 2130,5/9/24,930 University Ave ,
UM 24-123541,Bike Theft,05/08/2024 0900,5/9/24,614 Delaware St ,
UM 24-123463,Damage to Property - Graffitti,05/08/2024 1400,5/9/24,1901 4th St ,
UM 24-123447,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,05/09/2024 0846,5/9/24,10th Ave  / 5th St ,Inactive
UM 24-128227,Miscellaneous,05/07/2024 1800,5/8/24,505 Washington Ave ,Closed
UM 24-122375,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,05/08/2024 0930,5/8/24,401 Oak St ,
UM 24-122618,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report / No Valid Driver's Licen / No Insurance in Motor,05/08/2024 1450,5/8/24,24th Ave  / Hennepin Ave E,Closed
UM 24-122638,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle  / Traffic Law Enforcement,05/08/2024 0830,5/8/24,401 Oak St ,
UM 24-122822,Bike Theft,05/03/2024 1630,5/8/24,412 22nd Ave S,Inactive
UM 24-123003,Assault,05/08/2024 2025,5/8/24,417 Walnut St ,
UM 24-121509,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,05/07/2024 1413,5/7/24,220 Delaware St ,Closed
UM 24-122020,Trespass,05/07/2024 2235,5/8/24,117 Pleasant St ,Closed
UM 24-121202,Theft from Building,04/23/2024 1920,5/7/24,222 Pleasant St ,
UM 24-121384,Domestic Assault,05/07/2024 0330,5/7/24,1304 Gibbs Ave,
UM 24-122012,Burglary of Business,05/07/2024 2223,5/7/24,133 19th Ave S,
UM 24-121111,Uncured Business,05/07/2024 0345,5/7/24,330 21st Ave S,Closed
UM 24-120271,Stalking,05/05/2024 1735,5/6/24,116 Church St ,
UM 24-120761,Hit/Run Property Damage,05/06/2024 0645,5/6/24,649 Delaware St ,Inactive
UM 24-120892,Hit/Run Property Damage,05/06/2024 1800,5/6/24,385 East River Pkwy,Inactive
UM 24-119799,Trespass,05/05/2024 2116,5/5/24,84 Church St ,Active
UM 24-120089,Damage to Property-Graffitti,05/05/2024 1730,5/5/24,401 Oak St ,Inactive
UM 24-118966,Stolen Property Offen / Flee Police in Motor Vehicle / Flee Officer on Foot / Riot,05/05/2024 0111,5/5/24,4th St  / 15th Ave ,
UM 24-118935,Health Welfare Hold,05/05/2024 0035,5/5/24,Unviersity Ave  / Pleasatn St,Closed
UM 24-119169,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,05/04/2024 2130,5/5/24,501 Washington Ave ,Inactive
UM 24-119442,Hit/Run Property Damage,05/05/2024 1450,5/5/24,2125 5th St S,
UM 24-119823,Trespass / U of Force,05/05/2024 2143,5/5/24,84 Church St ,Closed
UM 24-117901,Damage to Property - Graffitti / Flee Officer on Foot,05/04/2024 0230,5/4/24,1212 4th St ,
UM 24-118337,Auto Theft,05/04/2024 0630,5/4/24,12th Ave  / University Ave,
UM 24-118354,Assist Other Agency / U of Force,05/04/2024 1536,5/4/24,275 Cedar Ave S,Closed
UM 24-118464,Warrant,05/04/2024 1721,5/4/24,1821 Riverside Ave,Arrest
UM 24-117446,Health Welfare Hold,05/03/2024 1818,5/3/24,1815 University Ave ,Closed
UM 24-117464,Trespass,05/03/2024 1841,5/3/24,615 Washington Ave ,Closed
UM 24-117487,Trespass,05/03/2024 1903,5/3/24,412 22nd Ave S,Closed
UM 24-117526,Health Welfare Hold,05/03/2024 1935,5/3/24,925 Washington Ave ,Closed
UM 24-117720,Warrant,05/03/2024 2248,5/3/24,12th Ave  / 7th St ,Arrest
UM 24-117848,Warrant,05/04/2024 0107,5/3/24,4th St  / 15th Ave ,Arrest
UM 24-115965,Hit/Run Property Damage,05/01/2024 2313,5/2/24,403 14th Ave S,
UM 24-116170,Miscellaneous,04/26/2024 1000,5/2/24,116 Church St ,
UM 24-116778,Health Welfare Hold,05/03/2024 0214,5/3/24,300 Washington Ave ,
UM 24-115875,Theft from Building,04/26/2024 1900,5/2/24,401 Oak St ,
UM 24-116086,Trespass,05/02/2024 1312,5/2/24,515 Delaware St ,Closed
UM 24-116173,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,04/29/2024 1150,5/2/24,385 East River Pkwy,
UM 24-116372,Warrant,05/02/2024 1729,5/2/24,271 19th Ave S,Arrest
UM 24-116430,Suicide,05/02/2024 0130,5/2/24,1 Washington Ave ,
UM 24-116525,Fal Emergency Call,05/02/2024 1947,5/2/24,511 Washington Ave ,Closed
UM 24-115791,Non-Vehicular Accident,05/02/2024 0508,5/2/24,210 Delaware St ,Closed
UM 24-114882,Miscellaneous,05/01/2024 0841,5/1/24,412 22nd Ave S,Closed
UM 24-115268,Theft,05/01/2024 1310,5/1/24,89 Church St ,Inactive
UM 24-115273,Assault / Trespass / Warrant,05/01/2024 1615,5/1/24,309 19th Ave S,Arrest
UM 24-115376,Health Welfare Hold,05/01/2024 1741,5/1/24,1 Washington Ave ,Closed
UM 24-115603,Trespass,05/01/2024 2134,5/1/24,615 Washington Ave ,Closed
MP 24-110358,Stalking,4/26/24 18:24,4/30/24,2512 7th St S,Reported
MP 24-704998,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,4/26/24 12:30,4/30/24,615 Washington Ave ,Reported
UM 24-114033,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,04/30/2024 0915,4/30/24,267 19th Ave S,Inactive
UM 24-114280,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,04/30/2024 0835,4/30/24,25th Ave  / Intercampus Transit Way,Inactive
UM 24-114281,Bike Theft / Posssion of Burglary Tools,04/30/2024 1459,4/30/24,222 Pleasant St ,
UM 24-114628,Crisis Intervention / Health Welfare Hold,04/30/2024 2209,4/30/24,301 Cedar Ave S,Closed
UM 24-113211,Trespass,04/29/2024 1448,4/29/24,110 Union St ,Closed
UM 24-112490,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,04/28/2024 1521,4/29/24,390 29th Ave ,
UM 24-112677,Warrant,04/28/2024 2320,4/29/24,4th St  / 15th Ave ,Arrest
UM 24-113272,Bike Theft,04/20/2024 0000,4/29/24,417 Walnut St ,Inactive
UM 24-113362,Damage to Property,04/28/2024 1100,4/29/24,500 Harvard St ,Closed
UM 24-113456,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,04/29/2024 1903,4/29/24,1024 27th Ave ,Inactive
UM 24-113511,Auto Theft / Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,04/28/2024 1700,4/29/24,1024 27th Ave ,
UM 24-111847,Assault w/ Dangerous Weapon,04/28/2024 0148,4/28/24,1235 4th St ,
UM 24-111844,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,04/28/2024 0140,4/28/24,302 15th Ave ,Inactive
UM 24-112504,Recovered Stolen Property / Warrant,04/28/2024 1926,4/28/24,390 29th Ave ,
UM 24-112637,Fal Info / Trespass / Warrant,04/28/2024 2222,4/28/24,300 19th Ave S,Arrest
UM 24-111113,Trespass,04/27/2024 1320,4/27/24,2275 Larpenteur Ave W,Closed
UM 24-110965,Hit/Run Property Damage,04/27/2024 0152,4/27/24,2231 6th St ,Inactive
UM 24-111130,Assault,04/27/2024 1343,4/27/24,15th Ave  / 4th St ,Closed
UM 24-109979,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,04/26/2024 1229,4/26/24,27th Ave  / University Ave,Closed
UM 24-113010,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,04/29/2024 1106,4/26/24,Oak St  / Esx St ,Closed
UM 24-109707,Trespass / Warrant,04/26/2024 0248,4/26/24,2001 6th St ,Closed
UM 24-109055,Damage to Property,04/26/2024 0552,4/26/24,15 Church St ,Inactive
UM 24-109847,Damage to Property,04/26/2024 0945,4/26/24,225 Pleassant St ,Inactive
UM 24-109974,Damage to Property,04/26/2024 0114,4/26/24,1609 University Ave ,
UM 24-110039,Bike Theft,04/25/2024 1100,4/26/24,116 Church St ,
UM 24-110107,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,04/26/2024 1441,4/26/24,18th Ave  / 4th St ,Closed
UM 24-110187,Trespass,04/26/2024 1603,4/26/24,300 Washington Ave ,Closed
UM 24-110310,Trespass,04/26/2024 1744,4/26/24,111 Church St ,Closed
UM 24-110536,Uncured Business,04/26/2024 2119,4/26/24,1024 27th Ave ,Closed
UM 24-110644,Driving After Revocation,04/26/2024 2312,4/26/24,112 University Ave ,Closed
UM 24-110848,Impound Abandoned Vehicle,04/27/2024 0341,4/26/24,909 Fulton St ,Closed
TC24-040,Drug Law Violations x2,04/18/2024 2000,4/26/24,17th Avenue Residence Hall,Reported
MP 24-107968,Auto Theft,4/24/24 13:00,4/26/24,22nd Ave S & 5th St S,Reported
MP 24-109189,Criminal xual Conduct-Molest,2/1/21 12:00,4/25/24,500 Harvard St ,Reported
